"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,75000,1,1,1,1,0.0491398757724971,0.0295140488721076,0.0214841576761032,0.0214978744180352,142.524298288803
2,24,75000,2,1,1,1,0.0483890170955963,0.0282788683851409,0.0257667555901415,0.0257807179671819,142.587460271669
3,24,75000,3,1,1,1,0.0463211031321433,0.0272550838382111,0.0220888857931727,0.0221031277564325,143.561852683711
4,24,75000,4,1,1,1,0.0470092508919645,0.0277379370441734,0.0182562464797893,0.0190062883554132,143.159647605648
5,24,75000,5,1,1,1,0.0421057559205765,0.0214643958812323,0.019637551561922,0.0196522504073799,144.208305253469
6,24,75000,6,1,1,1,0.0484010308915333,0.0287926652909942,0.0182184764367675,0.0182327217329681,143.074494969941
7,24,75000,7,1,1,1,0.0511062791930618,0.03229209961623,0.0197015208121514,0.0202554542224895,141.935762361965
8,24,75000,8,1,1,1,0.0444495107184268,0.0246588830418363,0.017944845045089,0.0223219638603352,144.047062123154
9,24,75000,9,1,1,1,0.0461236248036835,0.0263007976563459,0.022585611639415,0.0226000644946753,144.044377833101
10,24,75000,10,1,1,1,0.0480089146235801,0.0283597070826699,0.0186823592497786,0.0186962490401953,142.800724806013
11,24,75000,11,1,1,1,0.048641420119359,0.0292493339466786,0.0196932002544731,0.0203699538778382,142.868404488169
12,24,75000,12,1,1,1,0.0458568315034876,0.0255454871846606,0.0236171497894711,0.0236315515854875,143.282449758701
13,24,75000,13,1,1,1,0.0474421232788649,0.0275187401750514,0.0250282023508735,0.0250423860331946,143.404292303902
14,24,75000,14,1,1,1,0.052274785080545,0.0339005416105178,0.0193667107378561,0.0193801870896737,142.065673344122
15,24,75000,15,1,1,1,0.0429691907409551,0.0236707562229744,0.0171949043408526,0.0172093184539465,143.957278339391
16,24,75000,16,1,1,1,0.04890260719533,0.0296929829313833,0.0190541201749515,0.0190679105069933,142.725651095522
17,24,75000,17,1,1,1,0.0475300075181062,0.028866518315853,0.0167951772106808,0.0168091986160705,142.64465749965
18,24,75000,18,1,1,1,0.0517160149948506,0.032367645737383,0.0207323841959147,0.0207458860694786,141.608684701031
19,24,75000,19,1,1,1,0.0478148810948985,0.0287518435296317,0.0203539406939429,0.020368384482931,143.032247458795
20,24,75000,20,1,1,1,0.047465460302927,0.0287953407061629,0.0172850174510328,0.0172990852599175,143.069217285201
21,24,75000,21,1,1,1,0.047691774166691,0.0278736273500613,0.0241686897426021,0.0241829980294782,143.359132310429
22,24,75000,22,1,1,1,0.0462219519028801,0.0261619387895891,0.0200711535858551,0.0200852655681361,143.317364216379
23,24,75000,23,1,1,1,0.0505899223864626,0.03115123127813,0.0185042168518566,0.0186240789900095,141.964757476444
24,24,75000,24,1,1,1,0.0467519707049245,0.0268244011145501,0.0199058930681481,0.0222449020954409,143.23512644016
25,24,75000,25,1,1,1,0.04872027670521,0.0297467787919088,0.0199817709711095,0.019995609114829,142.51065151317
26,24,75000,26,1,1,1,0.0495706778426074,0.0308944186406556,0.0186035703853956,0.0200050236817215,142.217386038141
27,24,75000,27,1,1,1,0.0437846356980362,0.0240049399822174,0.0184201855256921,0.0184352160901941,144.094045359263
28,24,75000,28,1,1,1,0.0501603423757013,0.0315210109358552,0.0209327324377742,0.0209464302210767,142.454083367716
29,24,75000,29,1,1,1,0.0486637213229172,0.0285985764114869,0.0180923562550828,0.018876366069779,142.335956947091
30,24,75000,30,1,1,1,0.0446049442210503,0.0251356218177732,0.0167118902249595,0.0183075670474293,143.549476732544
31,24,75000,31,1,1,1,0.0480152540610826,0.0281422340014185,0.0231446299912091,0.0231587134817476,143.165628730282
32,24,75000,32,1,1,1,0.0503749568755987,0.030657886235984,0.0219487958666591,0.0219628129601877,143.073044278924
33,24,75000,33,1,1,1,0.0498889083469669,0.0314746772467833,0.0189442677248055,0.0189581326406888,142.672110206364
34,24,75000,34,1,1,1,0.0467872988830977,0.0273591898488931,0.0179154706401863,0.017929851681728,143.292291469286
35,24,75000,35,1,1,1,0.0475572539296623,0.0279236733861411,0.0190357061400502,0.0192216312213347,142.83520846432
36,24,75000,36,1,1,1,0.0467325862872754,0.0267212486178671,0.0195228275276975,0.0195369849803853,142.935210867764
37,24,75000,37,1,1,1,0.0463714965725848,0.0270375847382004,0.0194970357943291,0.0203048729539675,143.281633827444
38,24,75000,38,1,1,1,0.0496490643556533,0.0311001374746299,0.0199206490616633,0.0199344386341072,142.10305180299
39,24,75000,39,1,1,1,0.0455480349055475,0.0267548263054244,0.0189469464789588,0.0205882294170579,143.613744109534
40,24,75000,40,1,1,1,0.0483686548508531,0.028651193296338,0.0212175377310709,0.0247217426492453,142.577572114155
41,24,75000,41,1,1,1,0.0472207435566819,0.0280172976579258,0.0212078461645968,0.0212221302667752,142.936706098141
42,24,75000,42,1,1,1,0.0522979154456115,0.0336669010106767,0.0174468498246076,0.017956396320188,141.840152499387
43,24,75000,43,1,1,1,0.0456586008152333,0.0262956312568847,0.0227645343151789,0.0227789501031598,143.540365803425
44,24,75000,44,1,1,1,0.045997598967226,0.0266823965213531,0.0197545956349359,0.0217107455852865,144.015470837403
45,24,75000,45,1,1,1,0.0496898081493807,0.030952000917179,0.0232896468257927,0.0233035123390318,142.288108013133
46,24,75000,46,1,1,1,0.0486018855781176,0.0293267221904617,0.0185840245482772,0.0205155158664505,142.557299843496
47,24,75000,47,1,1,1,0.0490885622972894,0.0302798101404939,0.0177160792378229,0.0177300270542008,142.275645747552
48,24,75000,48,1,1,1,0.0413124945606865,0.0204260943707006,0.0190808463911909,0.0231483310808852,144.614022288689
49,24,75000,49,1,1,1,0.0453589665399473,0.0260888689435804,0.0178028775869989,0.0183647373188952,143.340294864188
50,24,75000,50,1,1,1,0.0471003273005235,0.0273384925607102,0.0219236701341745,0.0219379166189754,143.351503128675
51,24,75000,51,1,1,1,0.0466596219951768,0.0269085578150663,0.0229616098250514,0.0229757164667964,143.029602842813
52,24,75000,52,1,1,1,0.0455868286951592,0.0260440498827484,0.0183477084106184,0.0183619618571294,143.189068387566
53,24,75000,53,1,1,1,0.0453049402586373,0.0256079849737033,0.0197859153373268,0.0198003307293818,143.688988188392
54,24,75000,54,1,1,1,0.0478007087899627,0.0286195975089142,0.026477196897205,0.0264912516644762,143.326332007134
55,24,75000,55,1,1,1,0.047922338588353,0.0286119275147924,0.0226157887854333,0.0226298841119715,143.105114438696
56,24,75000,56,1,1,1,0.0445077532196267,0.0237340041871694,0.0284676835536112,0.0284826026563229,144.391086907254
57,24,75000,57,1,1,1,0.0419527271902998,0.0227862994858935,0.0157023529010068,0.0192921589986178,144.236075566315
58,24,75000,58,1,1,1,0.0440815633657572,0.0242968569665581,0.0141466501989594,0.015844439183376,143.518257339525
59,24,75000,59,1,1,1,0.0464481937921199,0.0267097356350121,0.0185718104633736,0.0187804031004323,143.220891084322
60,24,75000,60,1,1,1,0.0446750750981295,0.0248624949880091,0.0179481079591702,0.0179623927092261,143.230246072697
61,24,75000,61,1,1,1,0.0456636889500346,0.0259396080005039,0.0222154161857911,0.0222295764309932,143.383857307263
62,24,75000,62,1,1,1,0.0485976659470707,0.0283921908537415,0.0166491744487922,0.0167679341165009,142.319404075093
63,24,75000,63,1,1,1,0.0461535994034178,0.0272033400079552,0.0186746722903606,0.019412877030455,143.248814509084
64,24,75000,64,1,1,1,0.0476722019607062,0.0283544831588259,0.0186022402217911,0.0204828132485947,143.038790146028
65,24,75000,65,1,1,1,0.0476778572342105,0.028191893325599,0.0220461209134949,0.0220601296996058,143.288374123337
66,24,75000,66,1,1,1,0.0473980082656087,0.0285459399730376,0.0183862679425778,0.0184002408572412,142.561657385642
67,24,75000,67,1,1,1,0.0447262241403534,0.0250645821615688,0.0209834107963697,0.020997819231614,144.028841633727
68,24,75000,68,1,1,1,0.0522707595918024,0.0335131594442308,0.0199367444936851,0.0209282310127848,142.301839357859
69,24,75000,69,1,1,1,0.0471754206015603,0.0273347405840846,0.0206445763209145,0.020658638581705,142.761688349206
70,24,75000,70,1,1,1,0.0460869495660854,0.0262833264514421,0.0218068225713443,0.021821196825243,143.253441926605
71,24,75000,71,1,1,1,0.0457663820706567,0.0260712486137907,0.0190741076906062,0.0190882719087917,143.440162447385
72,24,75000,72,1,1,1,0.0486642168158204,0.0292327454566896,0.0184396701994378,0.0192891876809434,142.398577268932
73,24,75000,73,1,1,1,0.0447919344121396,0.0235762976455614,0.0247383657171536,0.0247530884159195,143.953740887833
74,24,75000,74,1,1,1,0.0459348367151936,0.0265780099724401,0.02299259951019,0.0230069348188595,143.407806781611
75,24,75000,75,1,1,1,0.0483552172920553,0.0290989558007437,0.0202862310657209,0.0217549355969569,142.429800614119
76,24,75000,76,1,1,1,0.0498732506476365,0.0307881993920146,0.023351551279063,0.0277411110589733,142.292827896731
77,24,75000,77,1,1,1,0.0456021308236116,0.0258665719263707,0.0226772851261719,0.0226916210648853,143.366898762735
78,24,75000,78,1,1,1,0.0458182061048284,0.0260559390017706,0.0177125673392563,0.0177270247307132,143.609166908679
79,24,75000,79,1,1,1,0.0499594995489836,0.0311726369044813,0.0195778703824154,0.0195915346750642,142.364327681332
80,24,75000,80,1,1,1,0.0458894925000858,0.0252307632862193,0.0242158894292873,0.0242302615370358,143.330403139806
81,24,75000,81,1,1,1,0.0448239639813024,0.0254758018714698,0.0190901093018875,0.0191044098084884,143.695248714549
82,24,75000,82,1,1,1,0.0462403140491795,0.0263714674594063,0.0213948005388714,0.0214091313230874,144.094355663079
83,24,75000,83,1,1,1,0.0457343784275265,0.025489059467997,0.0226880772602113,0.0227023917056447,143.530081279992
84,24,75000,84,1,1,1,0.0460517178345523,0.0264002448063343,0.0233210266234111,0.0233353444671199,143.636511504025
85,24,75000,85,1,1,1,0.0424739946430045,0.0234224203932518,0.0230129120522997,0.0230280597323913,144.588152772575
86,24,75000,86,1,1,1,0.0419352059202074,0.0218810453151987,0.0179336073097256,0.0201546340773967,144.406881160617
