"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,6,2500,1,0,1,0,0.0735399485470823,NA,0.0813426268753626,NA,2.40474749441847
2,6,2500,2,0,1,0,0.077235579968634,NA,0.079429908881213,NA,2.34923987321924
3,6,2500,3,0,1,0,0.0692786205210762,NA,0.0680952237455486,NA,2.4016676926165
4,6,2500,4,0,1,0,0.071084214019814,NA,0.0843801366148576,NA,2.34750785390731
5,6,2500,5,0,1,0,0.0607065596182876,NA,0.062718099009465,NA,2.38541224719507
6,6,2500,6,0,1,0,0.0681842710931652,NA,0.0650833592767558,NA,2.34047612718089
7,6,2500,7,0,1,0,0.0834071627311903,NA,0.0823101512635775,NA,2.3934280786937
8,6,2500,8,0,1,0,0.0654116843399761,NA,0.0631098371507657,NA,2.364665420748
9,6,2500,9,0,1,0,0.0614300747589755,NA,0.0603068051889964,NA,2.36647273790853
10,6,2500,10,0,1,0,0.0659511439692193,NA,0.0580793716994561,NA,2.31054667076565
11,6,2500,11,0,1,0,0.0605317101356708,NA,0.0668016445286381,NA,2.34889048927271
12,6,2500,12,0,1,0,0.0572484651639135,NA,0.0594082088715803,NA,2.38263534044278
13,6,2500,13,0,1,0,0.0628845732075484,NA,0.0629897351636917,NA,2.36603669041836
14,6,2500,14,0,1,0,0.0804561724784273,NA,0.0785437400387541,NA,2.39608881844811
15,6,2500,15,0,1,0,0.0744092936424251,NA,0.072401999535641,NA,2.39231945853007
16,6,2500,16,0,1,0,0.0705457834729774,NA,0.0733002546571069,NA,2.34340473209342
17,6,2500,17,0,1,0,0.0586475322033991,NA,0.0586309952478663,NA,2.30198816452245
18,6,2500,18,0,1,0,0.0729565364449842,NA,0.0703708704319479,NA,2.37526579346421
19,6,2500,19,0,1,0,0.0568267309288867,NA,0.0597089416895122,NA,2.32681842114703
20,6,2500,20,0,1,0,0.0625050296416414,NA,0.065898060621628,NA,2.37576716027326
21,6,2500,21,0,1,0,0.0708329274047769,NA,0.0705990578186091,NA,2.4211195124091
22,6,2500,22,0,1,0,0.072903266232257,NA,0.065862712410472,NA,2.33252756395125
23,6,2500,23,0,1,0,0.0647259375835349,NA,0.0748316513555097,NA,2.38829007721698
24,6,2500,24,0,1,0,0.0617259419183521,NA,0.0736240854426254,NA,2.38127129411748
25,6,2500,25,0,1,0,0.0664043218151572,NA,0.0653010909485808,NA,2.37805560927855
26,6,2500,26,0,1,0,0.0697109234387128,NA,0.0652817524556015,NA,2.34369752027588
27,6,2500,27,0,1,0,0.0657915136537868,NA,0.0636093200305211,NA,2.30982580142304
28,6,2500,28,0,1,0,0.0744654967879799,NA,0.0682524513108067,NA,2.39050040239816
29,6,2500,29,0,1,0,0.0692449318393285,NA,0.0627383807392997,NA,2.35357301555474
30,6,2500,30,0,1,0,0.0832049620901462,NA,0.090373050991593,NA,2.36853662616331
31,6,2500,31,0,1,0,0.0581987796924592,NA,0.0664747381692847,NA,2.31714228565343
32,6,2500,32,0,1,0,0.0607648414570082,NA,0.0573499433680596,NA,2.30940013458008
33,6,2500,33,0,1,0,0.0686927963810664,NA,0.0688101074643489,NA,2.30620931172744
34,6,2500,34,0,1,0,0.0728959003330519,NA,0.0704780876193527,NA,2.38643257462349
35,6,2500,35,0,1,0,0.0685215140637128,NA,0.0700425601556104,NA,2.3662388897473
36,6,2500,36,0,1,0,0.0577920249648095,NA,0.057948414364767,NA,2.44760545949593
37,6,2500,37,0,1,0,0.0653650927073805,NA,0.0658620813281074,NA,2.38163836626396
38,6,2500,38,0,1,0,0.0655732887941523,NA,0.0719367442134282,NA,2.3231196722229
39,6,2500,39,0,1,0,0.0625781993112594,NA,0.0611820936964074,NA,2.33246101704106
40,6,2500,40,0,1,0,0.0676109093131088,NA,0.0719275717134449,NA,2.38084296170475
41,6,2500,41,0,1,0,0.0665795097499696,NA,0.066615189793283,NA,2.44264073247675
42,6,2500,42,0,1,0,0.0581399855973865,NA,0.0656024691761729,NA,2.37395112140278
43,6,2500,43,0,1,0,0.0626772796894225,NA,0.0625610987445949,NA,2.33202028692869
44,6,2500,44,0,1,0,0.065280525214999,NA,0.0628566453482969,NA,2.37891152608981
45,6,2500,45,0,1,0,0.0644892869297688,NA,0.0634796294017518,NA,2.40086420543552
46,6,2500,46,0,1,0,0.0777703652598359,NA,0.0747056734137764,NA,2.37296885721844
47,6,2500,47,0,1,0,0.0607823322425764,NA,0.0668613912722968,NA,2.33728099411702
48,6,2500,48,0,1,0,0.0683063064870417,NA,0.0682696322807239,NA,2.37702289817076
