"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,25,150000,1,1,1,1,0.00930969234894143,0.00881019169001839,0.00894721612748343,0.00832801429655856,0.61407852231529
2,25,150000,2,1,1,1,0.00869917136439102,0.00848532288270791,0.00891920339290277,0.00873879323271259,0.618655501567771
3,25,150000,3,1,1,1,0.00835840735321101,0.00816683819888741,0.00872721313372699,0.0083140376121666,0.616254758539663
4,25,150000,4,1,1,1,0.00818867307801564,0.00803821116063459,0.00816925681865335,0.00793761129505931,0.621900268654768
5,25,150000,5,1,1,1,0.00790764472083174,0.00735121248501307,0.00785208650893802,0.00731925828076363,0.616532885042248
6,25,150000,6,1,1,1,0.00839705206921157,0.00826444671946119,0.00846411441490797,0.00833096019019046,0.621691641514433
7,25,150000,7,1,1,1,0.0095844665830691,0.00954849759362255,0.00944490284852341,0.00944280307789987,0.621971671144988
8,25,150000,8,1,1,1,0.0091172988676565,0.0088505196546487,0.00946137896929246,0.0091861428825679,0.609859007267964
9,25,150000,9,1,1,1,0.00843234765916393,0.00832325309109236,0.0078626596216002,0.0074548707938478,0.620181402617091
10,25,150000,10,1,1,1,0.00772579479948137,0.00661824043885927,0.00788641560680534,0.00650319791202333,0.615609528920651
11,25,150000,11,1,1,1,0.00729406437861945,0.00610812158786941,0.00751086421241929,0.00614939227824132,0.618818416438442
12,25,150000,12,1,1,1,0.00830653679271795,0.0078467463433671,0.00825146019630567,0.00778278643037469,0.618698257677431
13,25,150000,13,1,1,1,0.00873487914494998,0.00840503030495559,0.0085699823911851,0.00796786419911444,0.61560569964571
14,25,150000,14,1,1,1,0.00823055725259367,0.00801139915685343,0.00860242178568474,0.00836738539677734,0.621811023096486
15,25,150000,15,1,1,1,0.00879460403708294,0.00811446647480626,0.00821709599641294,0.00763388937986634,0.612804822363276
16,25,150000,16,1,1,1,0.0089744545851936,0.0088769584486368,0.00914428463404507,0.00909561431247514,0.618420795611018
17,25,150000,17,1,1,1,0.00787017680231189,0.00755925131938804,0.00772864250109754,0.00748566818145795,0.61988880524329
18,25,150000,18,1,1,1,0.00881319791494393,0.00858595565012749,0.00859399261315161,0.00841645159981044,0.615306983529985
19,25,150000,19,1,1,1,0.00781936539159153,0.00770827459443044,0.00776606373307719,0.00767765820307604,0.623846056525282
20,25,150000,20,1,1,1,0.00899684996115889,0.00834168025078839,0.00922965804962407,0.00853554030660033,0.610764848805328
21,25,150000,21,1,1,1,0.00921122304314321,0.00852975465070476,0.00886318764018263,0.0084008761339516,0.611308138721774
22,25,150000,22,1,1,1,0.00750922382633442,0.00640502319261146,0.00757859371460666,0.00651505954126845,0.614310687812788
23,25,150000,23,1,1,1,0.00928672513567383,0.00917483443889121,0.00926907739766553,0.00915055042533454,0.617071386167336
24,25,150000,24,1,1,1,0.00982278847318037,0.00981133073802217,0.0097917490902695,0.00973367156102006,0.623454154672887
25,25,150000,25,1,1,1,0.00988672247438687,0.00978088182865004,0.00998384547804181,0.00990890262506165,0.616485764532873
26,25,150000,26,1,1,1,0.00773340863856583,0.00747809213005819,0.00776012138900929,0.00752810845114759,0.619027800998843
27,25,150000,27,1,1,1,0.00779596887624632,0.00726892323417559,0.0077253139439034,0.00707178405297084,0.618687192400509
28,25,150000,28,1,1,1,0.00815652506178268,0.00711405691237121,0.007829145804758,0.00663074101552456,0.61143325540782
29,25,150000,29,1,1,1,0.00948227936646248,0.0093751824327935,0.00941853846454848,0.00930351783483276,0.616544559959214
30,25,150000,30,1,1,1,0.0095850803633789,0.00957595693202219,0.00958310202426932,0.00958301889869261,0.622408071162676
31,25,150000,31,1,1,1,0.00858054151684945,0.00850549829858349,0.00852028815899232,0.00838090392649272,0.622442646460172
32,25,150000,32,1,1,1,0.0089093549328409,0.00886675680730484,0.00880780712389132,0.00877878808928419,0.619169945119157
33,25,150000,33,1,1,1,0.00826615812344402,0.00767038589985743,0.00818919695993833,0.00772114338700025,0.613011613728548
34,25,150000,34,1,1,1,0.00912010434211779,0.00906903052276474,0.00918153879123021,0.00912290508994691,0.620158361339071
35,25,150000,35,1,1,1,0.00756478286445301,0.00707672066702443,0.00750413178445242,0.006989016079794,0.621031335315791
36,25,150000,36,1,1,1,0.00856037393254054,0.00786356455167356,0.00828696065243619,0.00794464920754312,0.613425051361883
37,25,150000,37,1,1,1,0.00822773215819608,0.00736477769909376,0.00847366314572686,0.00727777501905739,0.614207606483338
38,25,150000,38,1,1,1,0.0099573442980366,0.00960034925880122,0.009364276705592,0.0092390062040502,0.613171696143946
39,25,150000,39,1,1,1,0.00932425238579003,0.00930706257795933,0.00939432761785077,0.00930704452240648,0.622512010402302
40,25,150000,40,1,1,1,0.0101099500453701,0.00982214792802293,0.00977780228772308,0.00961740785795175,0.607439902817232
41,25,150000,41,1,1,1,0.00923458133443311,0.00869789143636392,0.00880604322830129,0.00876528566322345,0.617065957643588
42,25,150000,42,1,1,1,0.00802739308195348,0.00732147732502077,0.00809027763638708,0.00743928450168945,0.617168828678633
43,25,150000,43,1,1,1,0.00850433893903788,0.00818646689781805,0.00830357628317364,0.00814558640650532,0.62023981419169
44,25,150000,44,1,1,1,0.00763729896882962,0.00710649838398524,0.00744599280527393,0.00691373747343772,0.618408364577773
45,25,150000,45,1,1,1,0.00841963988069765,0.00810403524131762,0.00853977148572377,0.00827154985340271,0.616974559663673
46,25,150000,46,1,1,1,0.00765353725275195,0.00699311669951208,0.00765971651023706,0.00710924710925377,0.617385638866643
47,25,150000,47,1,1,1,0.00791477017067511,0.00758477585129413,0.00783531916727805,0.00743282295428604,0.620965485987993
48,25,150000,48,1,1,1,0.0084638609581262,0.00841075087793986,0.00846424231956078,0.00827014994431472,0.623672026013108
49,25,150000,49,1,1,1,0.00974581031542275,0.0102092538022372,0.0102588321248054,0.0102589922361673,0.619763948773802
50,25,150000,50,1,1,1,0.00925661811808936,0.00925532173972006,0.009056484686589,0.00904049972476605,0.620272512982917
51,25,150000,51,1,1,1,0.00924311387435259,0.00875616558634034,0.0086983036155652,0.00865582573126165,0.625850841124012
52,25,150000,52,1,1,1,0.00702504182280933,0.00673481919967536,0.0073207284739796,0.0067166018357408,0.62762215268367
53,25,150000,53,1,1,1,0.00892890852620183,0.00877224293793023,0.00895289805503659,0.00878274273954263,0.618956612557088
54,25,150000,54,1,1,1,0.00794564314296428,0.00777476184898492,0.00795052919461815,0.00784936127838594,0.623955942087084
55,25,150000,55,1,1,1,0.00815798742171801,0.00742775372931175,0.00802850415572431,0.00751480385329923,0.612001689570493
56,25,150000,56,1,1,1,0.00873563239436796,0.00847678916013006,0.00841682246295923,0.0081952618964419,0.613821219204922
57,25,150000,57,1,1,1,0.00860925517371551,0.00775630325452172,0.00882833279415541,0.00777765910585953,0.60953767569152
58,25,150000,58,1,1,1,0.0106710857581771,0.0101942575414284,0.0100765215124323,0.00993932674847316,0.615364131339029
59,25,150000,59,1,1,1,0.00786157741918926,0.00706218278522351,0.00792293362061397,0.0070617676417141,0.618382134478591
60,25,150000,60,1,1,1,0.00867493942444508,0.00809060265123469,0.00890481087990353,0.00807506957310161,0.614279812225495
61,25,150000,61,1,1,1,0.00774746987548303,0.00719378575779553,0.00775410149161722,0.00740908018066356,0.614669928453963
62,25,150000,62,1,1,1,0.0078821838592436,0.00678780057647169,0.00796002826152513,0.00678185386516158,0.612608943808762
63,25,150000,63,1,1,1,0.00791887155852141,0.00775502699053148,0.00813348797174862,0.00785680496028958,0.616799866270268
64,25,150000,64,1,1,1,0.00863131389972804,0.00831588785935704,0.00852278837456486,0.00830118854553226,0.614718519310957
65,25,150000,65,1,1,1,0.00776379943328289,0.00733794485048164,0.00793286431992914,0.00718125940277643,0.621180010854088
66,25,150000,66,1,1,1,0.00731507381774075,0.00685967692662843,0.00724826386864736,0.00698373889985527,0.61988782051975
67,25,150000,67,1,1,1,0.00879165225693565,0.00808478348199358,0.00905869970733711,0.00793564769495141,0.614551189460118
68,25,150000,68,1,1,1,0.00795204205244095,0.00813088760075172,0.00849487240737401,0.00823123521255374,0.624679746758102
69,25,150000,69,1,1,1,0.00837293872776718,0.00812994227034942,0.0084458359221456,0.00795211694075047,0.621978514685988
70,25,150000,70,1,1,1,0.00966403900996839,0.00916968580946757,0.00989983951089952,0.00910862300152667,0.610979614182624
71,25,150000,71,1,1,1,0.00749886641343729,0.00691576305530486,0.00747888686920209,0.00690247479665275,0.618590371722893
72,25,150000,72,1,1,1,0.00830408051404008,0.00799947846272757,0.00831273585521401,0.00787087464105444,0.621401337282865
73,25,150000,73,1,1,1,0.00822985600124346,0.00800741166730044,0.00869754237209755,0.00830453592952519,0.616859710271537
74,25,150000,74,1,1,1,0.0079714168328858,0.00713674195414104,0.00765994981896504,0.00670311040859884,0.615348072020217
75,25,150000,75,1,1,1,0.00874384947000842,0.00735519360275538,0.008346046785308,0.00706689648984343,0.605614473539334
76,25,150000,76,1,1,1,0.00800257378269969,0.00742707779927607,0.00776917381272418,0.00749166440241297,0.619289080038055
77,25,150000,77,1,1,1,0.00836485034815805,0.00752810444782697,0.00799553888547506,0.00735587749488271,0.61441685245419
78,25,150000,78,1,1,1,0.00899252008584379,0.00827591684595344,0.00827965497773221,0.00798256871099386,0.60929713040571
79,25,150000,79,1,1,1,0.00765508343935395,0.00730354766342341,0.00763603773133497,0.0073471550564785,0.618450355048655
80,25,150000,80,1,1,1,0.00813120768668152,0.00725596595117825,0.00825701145995598,0.00707367498705505,0.614047024450497
81,25,150000,81,1,1,1,0.00850375048472546,0.00787819689234376,0.00828463405499801,0.00755065136544927,0.618363537624304
82,25,150000,82,1,1,1,0.00879905699075679,0.0080064812627378,0.00847412244622806,0.00796894708127862,0.606883574258898
83,25,150000,83,1,1,1,0.00826336953260589,0.0077918568982752,0.00848722780544064,0.00810328926482018,0.618155832949043
84,25,150000,84,1,1,1,0.00758785201710781,0.00701455004158829,0.00740968205646977,0.00699217586526637,0.6165590723699
85,25,150000,85,1,1,1,0.00800795591354853,0.00762688663553722,0.00793321195102164,0.0076379284584591,0.619432624834553
86,25,150000,86,1,1,1,0.00949789723125631,0.00871219817238238,0.00930908237418336,0.00860543601200977,0.611755543689166
87,25,150000,87,1,1,1,0.00849270481485714,0.0081215466478014,0.00841561903417905,0.00799997605311403,0.616273938929042
88,25,150000,88,1,1,1,0.00707683626240459,0.00613787070658101,0.00735698371945733,0.00623768005372648,0.619155945871929
89,25,150000,89,1,1,1,0.00979351085852345,0.00941314950504789,0.00925555435987004,0.0092555442106572,0.625138627072166
90,25,150000,90,1,1,1,0.010284443687178,0.0101580413400476,0.0100280460661297,0.0100049825962207,0.606514629077354
91,25,150000,91,1,1,1,0.00940779213255354,0.00939019157849254,0.00943268527463822,0.00941433464720977,0.619946982994947
92,25,150000,92,1,1,1,0.00799681650230086,0.00763082335555479,0.00797350372704675,0.00758429598918068,0.619060578840926
93,25,150000,93,1,1,1,0.00783959782364296,0.00719322980609691,0.00789891648631899,0.00725506143562114,0.613145873673788
94,25,150000,94,1,1,1,0.00941779105745084,0.00923833731918725,0.00950095715022418,0.00936099607265836,0.613643969568933
95,25,150000,95,1,1,1,0.00908868322815696,0.00908872012524982,0.0090833263299217,0.00906865433111241,0.623541480418874
96,25,150000,96,1,1,1,0.00841891426735987,0.00815361546063657,0.00844756673131826,0.00829111557216271,0.616712677420512
97,25,150000,97,1,1,1,0.0081449396079279,0.00756182880386768,0.00841206080777815,0.00777883660524697,0.615730891129986
98,25,150000,98,1,1,1,0.00763668073015892,0.00681997477229028,0.00742332558780799,0.00670315366983221,0.621815323512565
99,25,150000,99,1,1,1,0.00786592411279627,0.00689112894514014,0.00809560671250715,0.00722204986947774,0.614165969961665
100,25,150000,100,1,1,1,0.00791107991360867,0.00752255214044401,0.00785307493749371,0.00753168231634804,0.617758316368664
101,25,160000,1,1,1,1,0.0112450296456737,0.010723508777911,0.0104319088470537,0.0103431613417928,0.607493717484451
102,25,160000,2,1,1,1,0.00861764382829049,0.00857383624927821,0.00859253927994546,0.00848695468085918,0.625372024711927
103,25,160000,3,1,1,1,0.00759812349866204,0.00702818377603513,0.00721516663214766,0.00663701638463031,0.620776898583196
104,25,160000,4,1,1,1,0.00896889404822673,0.00842690561592066,0.00877716748061799,0.00817661872340718,0.611779285937534
105,25,160000,5,1,1,1,0.00784031541262258,0.00761100407939072,0.0079778789794089,0.00765909688758115,0.623692985166787
106,25,160000,6,1,1,1,0.00745463151464182,0.00692344026838567,0.00759453806265836,0.00705773796793216,0.619230768978837
107,25,160000,7,1,1,1,0.00772947729206022,0.00720100878856601,0.00768976503171713,0.00738214050700439,0.614959879547701
108,25,160000,8,1,1,1,0.0127163265177575,0.0127043314075402,0.0128679938210386,0.0128679851413332,0.617141931340748
109,25,160000,9,1,1,1,0.00796590481483427,0.007379722563158,0.00776917951068495,0.0073518001506018,0.614996713457773
110,25,160000,10,1,1,1,0.00921847033826791,0.0090505859288916,0.00889446097793913,0.00877711195410571,0.612637859394279
111,25,160000,11,1,1,1,0.00812143022890874,0.00723943641932899,0.00780712035494738,0.00717188088215985,0.614231846844315
112,25,160000,12,1,1,1,0.00825068207400848,0.00797473383148805,0.0081870729408805,0.00796751890599898,0.61724401477684
113,25,160000,13,1,1,1,0.00774335317434416,0.00690669324960004,0.00780223272638272,0.00682397009176437,0.617933282081295
114,25,160000,14,1,1,1,0.00788650840761084,0.00766193042892851,0.00791650296168527,0.00758316694730668,0.621828401994429
115,25,160000,15,1,1,1,0.00853197477724875,0.00743351590717899,0.00838366254612631,0.00730303364007782,0.612437295501646
116,25,160000,16,1,1,1,0.00862906406827556,0.00795744409178466,0.00861798817672518,0.00815513405343097,0.609325402006276
117,25,160000,17,1,1,1,0.00777540760748701,0.00759665174710859,0.00777260199338847,0.0075940585590188,0.623803762350432
118,25,160000,18,1,1,1,0.0101349343752202,0.01012012921782,0.0102377576550326,0.0101731347209436,0.617866886675755
119,25,160000,19,1,1,1,0.00798783612304773,0.00701804802864681,0.00796728535662167,0.00714749615047513,0.612547729234474
120,25,160000,20,1,1,1,0.00959370206052189,0.00875977519420441,0.0095458594320485,0.00850040164207259,0.607745903511213
121,25,160000,21,1,1,1,0.00905215471840885,0.00850912321049422,0.00891897025798916,0.00820786218688971,0.610591747941997
122,25,160000,22,1,1,1,0.00827033773774516,0.00810635111484075,0.00838123350476988,0.00823072145018352,0.620974609768507
123,25,160000,23,1,1,1,0.0073981814133313,0.00665027321001374,0.00720260212667981,0.00657659409604895,0.615475888149064
124,25,160000,24,1,1,1,0.00770890481627927,0.00696392174565489,0.00794076953037286,0.00723907088910658,0.617358452108432
125,25,160000,25,1,1,1,0.00683754224202681,0.00615982003678877,0.00732546026382296,0.00621265432514883,0.624448224129588
126,25,160000,26,1,1,1,0.00854950149248464,0.0076575804580674,0.00822363351021512,0.00763413999820937,0.610943580701901
127,25,160000,27,1,1,1,0.00762118966449048,0.0070387416905444,0.00758896653657824,0.00710619779336998,0.616951373956062
128,25,160000,28,1,1,1,0.00794852662975137,0.0078660027408713,0.00837877850375028,0.00811536328158655,0.619325680670542
129,25,160000,29,1,1,1,0.00806474735103796,0.00746008505896704,0.0081748151039038,0.00747385525787317,0.615489724104508
130,25,160000,30,1,1,1,0.007518898295454,0.00700867041630009,0.00736387783901473,0.00694329003623204,0.619478057852656
131,25,160000,31,1,1,1,0.00810852440023863,0.00737405974648701,0.00792783154246916,0.00721589848901091,0.613553767701104
132,25,160000,32,1,1,1,0.00825108178781698,0.00791601818264746,0.00813472551263142,0.00774711274772209,0.618250027362251
133,25,160000,33,1,1,1,0.00819208361198268,0.00726970809400853,0.00820020241470817,0.00743034947544841,0.617605094767099
134,25,160000,34,1,1,1,0.00791789497752639,0.0073772942306661,0.00773512617254629,0.00729471248806625,0.61584951956897
135,25,160000,35,1,1,1,0.00986545115412614,0.00986538312327408,0.00982231705207644,0.00982220474839614,0.623136267743904
136,25,160000,36,1,1,1,0.00801702024308837,0.00746210818004438,0.00784655470425911,0.00744451886631679,0.615215469082844
137,25,160000,37,1,1,1,0.00728655818146826,0.00666049084091432,0.00717018055413563,0.00659367939969119,0.61929834400697
138,25,160000,38,1,1,1,0.00782719512347483,0.00730045614468505,0.00796339001040079,0.00730374668664832,0.618251150836794
139,25,160000,39,1,1,1,0.00820063002875598,0.00744041541252474,0.00779114685522117,0.00692276756216607,0.612958769821032
140,25,160000,40,1,1,1,0.00923474484539094,0.00925451050035353,0.00907010726462748,0.00906218148458942,0.622636707281487
141,25,160000,41,1,1,1,0.00798126178504254,0.00733996342425641,0.00787715346450092,0.00741414230050457,0.620971500620605
142,25,160000,42,1,1,1,0.00944255261263871,0.00938983608256312,0.00926922429163539,0.00914777757612476,0.61761716482584
143,25,160000,43,1,1,1,0.00796807457869063,0.00733608494357726,0.00812860224571517,0.00721032600591986,0.616658551742248
144,25,160000,44,1,1,1,0.00847242804235838,0.00798639078702054,0.00838576756327837,0.00791336616230642,0.613004920173797
145,25,160000,45,1,1,1,0.00751388973316147,0.00648484668250546,0.0077593570140916,0.00650522066410636,0.613878400418572
146,25,160000,46,1,1,1,0.00975885852628221,0.00961162413878093,0.0094534484675879,0.00932713955924598,0.615731526391116
147,25,160000,47,1,1,1,0.00830715119421696,0.00798539730167917,0.00827925459739153,0.00803407935861524,0.616225972291223
148,25,160000,48,1,1,1,0.00883585786200929,0.00773712809940477,0.00873493093821334,0.00766074059052974,0.608383988487242
149,25,160000,49,1,1,1,0.00719260327668565,0.00679029046425181,0.00718680148021699,0.00668477061210536,0.624181628124194
150,25,160000,50,1,1,1,0.00876728934022188,0.00757334115892713,0.00929525577677813,0.00795248403655809,0.607376886893622
151,25,160000,51,1,1,1,0.00880980146342637,0.00832108679551648,0.00833582073460727,0.00828371361218368,0.621211988564449
152,25,160000,52,1,1,1,0.00849899811630401,0.00750455493752401,0.00843664821520869,0.00713547157843625,0.614348553116464
153,25,160000,53,1,1,1,0.00800477589045336,0.0072507659063193,0.00751381757979598,0.00723051602457543,0.617146898534766
154,25,160000,54,1,1,1,0.00812917430114775,0.00758677913161054,0.00846658202901601,0.00772396134886565,0.61392843340801
155,25,160000,55,1,1,1,0.0084168483963776,0.00753547765251936,0.00840928761748889,0.00752225865345906,0.610632538019991
156,25,160000,56,1,1,1,0.00838697578893149,0.0072079660139039,0.00848853020512698,0.00725024764129718,0.608454366332978
157,25,160000,57,1,1,1,0.00797557060597794,0.00760870411397314,0.00812905057737174,0.00762163432672614,0.61941585051416
158,25,160000,58,1,1,1,0.00873221064426914,0.0081549936258389,0.00850098094587619,0.00812757109200444,0.609894955688503
159,25,160000,59,1,1,1,0.00821104785995365,0.00742045512544956,0.00800867274134054,0.00680517786264817,0.612263541601289
160,25,160000,60,1,1,1,0.00909621845358945,0.00877180521807321,0.00901527249646595,0.00845539396292495,0.613133046529012
161,25,160000,61,1,1,1,0.00749671518285101,0.00690227959791472,0.0074167679855799,0.00684780262815785,0.61828399304517
162,25,160000,62,1,1,1,0.00908991513731027,0.00906667958902889,0.00885282764552881,0.00878407038972449,0.620776929788547
163,25,160000,63,1,1,1,0.00766701586447704,0.00684627658013425,0.00789617580176457,0.00697570699477753,0.614874309680547
164,25,160000,64,1,1,1,0.0106082850202036,0.010202194448041,0.00990432106143642,0.00987075734160207,0.615164889530998
165,25,160000,65,1,1,1,0.00699116929216419,0.0068309743659678,0.00697181537710254,0.0067849851687555,0.628144839643152
166,25,160000,66,1,1,1,0.00782363994041816,0.00727688430667936,0.00788736785044174,0.00710473576799405,0.617287901597053
167,25,160000,67,1,1,1,0.00724079162090957,0.00618398744583884,0.00727741609582941,0.0063025696361618,0.616576186028168
168,25,160000,68,1,1,1,0.00759092490680948,0.00685786407735218,0.00756237649452897,0.00704567663683067,0.615693717674581
169,25,160000,69,1,1,1,0.00810676761858113,0.00755899057609909,0.00819319369219892,0.00746137632746545,0.616011725090848
170,25,160000,70,1,1,1,0.00740644131337609,0.00688356124968717,0.00742052685351925,0.00697527984031083,0.619375322991369
171,25,160000,71,1,1,1,0.00836235769316892,0.00876018397243728,0.00874338601603678,0.00873975814583334,0.630938470814609
172,25,160000,72,1,1,1,0.00814460464205186,0.00750103189347616,0.00820891364017879,0.00745744396735646,0.6141986659562
173,25,160000,73,1,1,1,0.00869362457000224,0.00772399602756918,0.00909419758796693,0.00753763644030329,0.608464850304814
174,25,160000,74,1,1,1,0.00786333785297433,0.007700135957424,0.00808142440447837,0.00778627024171764,0.617940108987163
175,25,160000,75,1,1,1,0.00795941863529843,0.00711773795009763,0.00788211023605613,0.00704592482452057,0.615091752981461
176,25,160000,76,1,1,1,0.0101341829495375,0.00952950195970644,0.010217921627156,0.00971103171526329,0.603579799177414
177,25,160000,77,1,1,1,0.00864345326046443,0.00855361012199532,0.00881104329299078,0.00861349714650934,0.624144786562727
178,25,160000,78,1,1,1,0.00887763808619044,0.00885076779684255,0.0087536211376357,0.00873304718700637,0.621067385360483
179,25,160000,79,1,1,1,0.00778301694910208,0.00742387941568124,0.00776705596372408,0.00743150721574408,0.618545672907633
180,25,160000,80,1,1,1,0.00793534478535929,0.00725721120540145,0.00796797298054929,0.00730160439545296,0.614092713010389
181,25,160000,81,1,1,1,0.00840898908931296,0.0077344587287988,0.00834441531762266,0.0076995508295421,0.613796376964538
182,25,160000,82,1,1,1,0.0123906865705367,0.0119167888946579,0.0116693489724358,0.0116693816700154,0.613198176003928
183,25,160000,83,1,1,1,0.00791274569744547,0.00746691332839278,0.00821094866938178,0.00753085166870622,0.616173964602709
184,25,160000,84,1,1,1,0.00744040891253575,0.00714814510120376,0.00758282259513633,0.00720933485227162,0.623123543962839
185,25,160000,85,1,1,1,0.00740764877372106,0.00664122572530754,0.00738216552598484,0.0067168919142806,0.615711585288797
186,25,160000,86,1,1,1,0.00736857578165507,0.00687617468196736,0.00723029736750335,0.00685125617661963,0.6189239725367
187,25,160000,87,1,1,1,0.0079610974345443,0.00744399661783779,0.00863821740766408,0.007780484415501,0.617992036626058
188,25,160000,88,1,1,1,0.00917212685725639,0.00904440995679436,0.00930922209530732,0.00921778060377555,0.615897158227406
189,25,160000,89,1,1,1,0.00758945343133263,0.00741204004031908,0.00758227530527646,0.00738133739833745,0.626231480591478
190,25,160000,90,1,1,1,0.00814232224656398,0.00742801535289775,0.00828186156986776,0.00754339438640936,0.615083366114052
191,25,160000,91,1,1,1,0.00912256735108468,0.00885086584773276,0.00903369854365154,0.00885038017065155,0.612782187930942
192,25,160000,92,1,1,1,0.00790213913101579,0.007280930577689,0.00814003178920446,0.00760977731998663,0.617113992554793
