"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,18,10000,1,0,0,0,0.485131477407538,NA,0.0983756812645373,NA
2,18,10000,2,0,0,0,0.484173327303338,NA,0.0973066071194257,NA
3,18,10000,3,0,0,0,0.486582721332374,NA,0.10512029235341,NA
4,18,10000,4,0,0,0,0.486627695294041,NA,0.105292505815916,NA
5,18,10000,5,0,0,0,0.486369652638596,NA,0.103786097376714,NA
6,18,10000,6,0,0,0,0.485301423559,NA,0.0998287394121434,NA
7,18,10000,7,0,0,0,0.486380581782587,NA,0.104905046849242,NA
8,18,10000,8,0,0,0,0.486590245602358,NA,0.104813634048887,NA
9,18,10000,9,0,0,0,0.484995925290911,NA,0.100843776290184,NA
10,18,10000,10,0,0,0,0.487754351417482,NA,0.107697516066169,NA
11,18,10000,11,0,0,0,0.485017632898831,NA,0.098698399137701,NA
12,18,10000,12,0,0,0,0.486570303401722,NA,0.104444994451673,NA
13,18,10000,13,0,0,0,0.485078215151408,NA,0.0994307676113595,NA
14,18,10000,14,0,0,0,0.486874996305566,NA,0.1045455713782,NA
15,18,10000,15,0,0,0,0.487197636877642,NA,0.107700932007214,NA
16,18,10000,16,0,0,0,0.485735775875236,NA,0.104459003613094,NA
17,18,10000,17,0,0,0,0.485632100993211,NA,0.103773247936905,NA
18,18,10000,18,0,0,0,0.487411276045099,NA,0.106748822556924,NA
19,18,10000,19,0,0,0,0.484977131763103,NA,0.0977022762404346,NA
20,18,10000,20,0,0,0,0.484743229771863,NA,0.0982911990554013,NA
21,18,10000,21,0,0,0,0.485839425670532,NA,0.102938219044368,NA
22,18,10000,22,0,0,0,0.485878766102402,NA,0.100877713656755,NA
23,18,10000,23,0,0,0,0.485373370487126,NA,0.099367109856874,NA
24,18,10000,24,0,0,0,0.486424573934007,NA,0.105285595948489,NA
25,18,10000,25,0,0,0,0.486246509412101,NA,0.103900634310708,NA
26,18,10000,26,0,0,0,0.485204271745259,NA,0.100163126755956,NA
27,18,10000,27,0,0,0,0.48542642193167,NA,0.0975909942565917,NA
28,18,10000,28,0,0,0,0.484464559660643,NA,0.0975463537415885,NA
29,18,10000,29,0,0,0,0.486211958223124,NA,0.105946126115707,NA
30,18,10000,30,0,0,0,0.486784531970538,NA,0.105432753634607,NA
31,18,10000,31,0,0,0,0.485360585696472,NA,0.100726893023392,NA
32,18,10000,32,0,0,0,0.485717882488416,NA,0.102756838534021,NA
33,18,10000,33,0,0,0,0.485311396870799,NA,0.099593735620091,NA
34,18,10000,34,0,0,0,0.48649596730329,NA,0.105582549646086,NA
35,18,10000,35,0,0,0,0.487444570471489,NA,0.108639090726999,NA
36,18,10000,36,0,0,0,0.484908457822045,NA,0.0992224637013206,NA
37,18,10000,37,0,0,0,0.486547697968144,NA,0.102365433805943,NA
38,18,10000,38,0,0,0,0.487270891823784,NA,0.106250080694366,NA
39,18,10000,39,0,0,0,0.487899282746028,NA,0.110631208010024,NA
40,18,10000,40,0,0,0,0.486946070789165,NA,0.105376191832904,NA
41,18,10000,41,0,0,0,0.486654818837086,NA,0.106223743788764,NA
42,18,10000,42,0,0,0,0.48761626402869,NA,0.108334825338803,NA
43,18,10000,43,0,0,0,0.485633785324633,NA,0.101496654029492,NA
44,18,10000,44,0,0,0,0.485015005661918,NA,0.0983809027054551,NA
45,18,10000,45,0,0,0,0.485124982220668,NA,0.0976965468774573,NA
46,18,10000,46,0,0,0,0.486177834017284,NA,0.102856062362557,NA
47,18,10000,47,0,0,0,0.486497604740858,NA,0.104859246609433,NA
48,18,10000,48,0,0,0,0.486355514084601,NA,0.104758485027944,NA
49,18,10000,49,0,0,0,0.486545204421253,NA,0.104601123520761,NA
50,18,10000,50,0,0,0,0.48564881523222,NA,0.100022621640157,NA
51,18,10000,51,0,0,0,0.485508699877345,NA,0.101601768696816,NA
52,18,10000,52,0,0,0,0.487237984874134,NA,0.108702906070143,NA
53,18,10000,53,0,0,0,0.485438033711845,NA,0.10100035249678,NA
54,18,10000,54,0,0,0,0.487140611260265,NA,0.10653372361793,NA
55,18,10000,55,0,0,0,0.486799590302751,NA,0.103614526666997,NA
56,18,10000,56,0,0,0,0.485372031056505,NA,0.102232427407753,NA
57,18,10000,57,0,0,0,0.487241778420704,NA,0.105971697898755,NA
58,18,10000,58,0,0,0,0.486902571317046,NA,0.105804961593739,NA
59,18,10000,59,0,0,0,0.487732626413194,NA,0.110868011497419,NA
60,18,10000,60,0,0,0,0.487970349426962,NA,0.10992267288327,NA
61,18,10000,61,0,0,0,0.485149138684719,NA,0.0984292057210496,NA
62,18,10000,62,0,0,0,0.485850777764889,NA,0.102042428509029,NA
63,18,10000,63,0,0,0,0.486441445779348,NA,0.103705564912285,NA
64,18,10000,64,0,0,0,0.48611130653831,NA,0.103629648734534,NA
65,18,10000,65,0,0,0,0.486057652484711,NA,0.104334261588029,NA
66,18,10000,66,0,0,0,0.488218337831617,NA,0.111179498439146,NA
67,18,10000,67,0,0,0,0.486315682887956,NA,0.103248935342026,NA
68,18,10000,68,0,0,0,0.485695631064615,NA,0.102949066212364,NA
69,18,10000,69,0,0,0,0.487563148430352,NA,0.108618910533224,NA
70,18,10000,70,0,0,0,0.485668797126543,NA,0.101698057943934,NA
71,18,10000,71,0,0,0,0.485224319856751,NA,0.0994168402874891,NA
72,18,10000,72,0,0,0,0.485402358659113,NA,0.100861815072411,NA
73,18,10000,73,0,0,0,0.487443267171952,NA,0.107525650309143,NA
74,18,10000,74,0,0,0,0.486924591181635,NA,0.104975967677295,NA
75,18,10000,75,0,0,0,0.485433891283031,NA,0.101200901496745,NA
76,18,10000,76,0,0,0,0.484959103331257,NA,0.0994422356975092,NA
77,18,10000,77,0,0,0,0.486019296915982,NA,0.103289473661756,NA
78,18,10000,78,0,0,0,0.484761570556995,NA,0.0974017376185112,NA
79,18,10000,79,0,0,0,0.484780643301903,NA,0.0968061573802126,NA
80,18,10000,80,0,0,0,0.487014968972991,NA,0.106466418846036,NA
81,18,10000,81,0,0,0,0.485283171492785,NA,0.0966314527350115,NA
82,18,10000,82,0,0,0,0.484343800185138,NA,0.098048954515905,NA
83,18,10000,83,0,0,0,0.485367362839888,NA,0.100727733174342,NA
84,18,10000,84,0,0,0,0.485387961037837,NA,0.100067442526031,NA
85,18,10000,85,0,0,0,0.486936157069139,NA,0.105482809466143,NA
86,18,10000,86,0,0,0,0.486562390694839,NA,0.105761451265892,NA
87,18,10000,87,0,0,0,0.484433804849903,NA,0.0955001421087382,NA
88,18,10000,88,0,0,0,0.488425737845428,NA,0.109686147013633,NA
89,18,10000,89,0,0,0,0.486674569567518,NA,0.106426516337143,NA
90,18,10000,90,0,0,0,0.485859047924204,NA,0.100862669603525,NA
91,18,10000,91,0,0,0,0.485148184168521,NA,0.0972057676874195,NA
92,18,10000,92,0,0,0,0.486248493873475,NA,0.103888954103806,NA
93,18,10000,93,0,0,0,0.485105720318232,NA,0.0990316703034129,NA
94,18,10000,94,0,0,0,0.485100040821051,NA,0.100197636049517,NA
95,18,10000,95,0,0,0,0.487935343685022,NA,0.109564808974163,NA
96,18,10000,96,0,0,0,0.487225173967108,NA,0.107239691651188,NA
97,18,10000,97,0,0,0,0.485178524057028,NA,0.0999455662991973,NA
98,18,10000,98,0,0,0,0.485408604508321,NA,0.100213843317862,NA
99,18,10000,99,0,0,0,0.48546162410436,NA,0.100348033752175,NA
100,18,10000,100,0,0,0,0.484419310567847,NA,0.0959871503871004,NA
101,18,12500,1,0,0,0,0.485203186562187,NA,0.0992252135396395,NA
102,18,12500,2,0,0,0,0.48476340627923,NA,0.0983307231092839,NA
103,18,12500,3,0,0,0,0.485535963702987,NA,0.0996138162535253,NA
104,18,12500,4,0,0,0,0.487240773768499,NA,0.105730456378598,NA
105,18,12500,5,0,0,0,0.485309819077086,NA,0.100988206604715,NA
106,18,12500,6,0,0,0,0.484763485170626,NA,0.0993160035650801,NA
