"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,18,1000,1,0,0,0,0.501871055840421,NA,0.174332282912916,NA
2,18,1000,2,0,0,0,0.497076492791127,NA,0.161105564434642,NA
3,18,1000,3,0,0,0,0.499892328501824,NA,0.198863593560136,NA
4,18,1000,4,0,0,0,0.503162595140336,NA,0.169439522324436,NA
5,18,1000,5,0,0,0,0.496043618832486,NA,0.167213349741991,NA
6,18,1000,6,0,0,0,0.497336433128712,NA,0.160601576096347,NA
7,18,1000,7,0,0,0,0.495772695798107,NA,0.147163955953277,NA
8,18,1000,8,0,0,0,0.495201220920408,NA,0.178512199842179,NA
9,18,1000,9,0,0,0,0.501588222091473,NA,0.173626943771606,NA
10,18,1000,10,0,0,0,0.494916445097263,NA,0.147618198217269,NA
11,18,1000,11,0,0,0,0.502277760618877,NA,0.160599400952425,NA
12,18,1000,12,0,0,0,0.500209187347034,NA,0.161367868434813,NA
13,18,1000,13,0,0,0,0.497776698997035,NA,0.165423287795156,NA
14,18,1000,14,0,0,0,0.497138573955993,NA,0.154814029830754,NA
15,18,1000,15,0,0,0,0.503993047053349,NA,0.201316357554235,NA
16,18,1000,16,0,0,0,0.500297198427078,NA,0.167059492304086,NA
17,18,1000,17,0,0,0,0.500187927475317,NA,0.161936638497075,NA
18,18,1000,18,0,0,0,0.500856179560039,NA,0.209045840707521,NA
19,18,1000,19,0,0,0,0.492851573713209,NA,0.154763625193199,NA
20,18,1000,20,0,0,0,0.500319743628265,NA,0.167034442816777,NA
21,18,1000,21,0,0,0,0.498574780388048,NA,0.167762908243976,NA
22,18,1000,22,0,0,0,0.495483415454147,NA,0.154469952835951,NA
23,18,1000,23,0,0,0,0.498964624836388,NA,0.165577822453608,NA
24,18,1000,24,0,0,0,0.499250026712611,NA,0.164490969966984,NA
25,18,1000,25,0,0,0,0.49976984819736,NA,0.167684465546053,NA
26,18,1000,26,0,0,0,0.495880910686046,NA,0.156032810441725,NA
27,18,1000,27,0,0,0,0.496081344565055,NA,0.150096986383736,NA
28,18,1000,28,0,0,0,0.504387028130366,NA,0.194041622005592,NA
29,18,1000,29,0,0,0,0.495799666160383,NA,0.151047065075434,NA
30,18,1000,30,0,0,0,0.500351727676057,NA,0.166508750244128,NA
31,18,1000,31,0,0,0,0.494771695854551,NA,0.145190627214329,NA
32,18,1000,32,0,0,0,0.497753921002305,NA,0.167312868885745,NA
33,18,1000,33,0,0,0,0.497447747777983,NA,0.166118317668511,NA
34,18,1000,34,0,0,0,0.499975735303425,NA,0.164796967820655,NA
35,18,1000,35,0,0,0,0.496037253112709,NA,0.158850762586212,NA
36,18,1000,36,0,0,0,0.492317967646376,NA,0.140061671792415,NA
37,18,1000,37,0,0,0,0.495093743453971,NA,0.147715082812476,NA
38,18,1000,38,0,0,0,0.498758813842394,NA,0.159951669891558,NA
39,18,1000,39,0,0,0,0.496255342398199,NA,0.152478259367019,NA
40,18,1000,40,0,0,0,0.497779958026252,NA,0.160966295598594,NA
41,18,1000,41,0,0,0,0.497957285513968,NA,0.169025746459637,NA
42,18,1000,42,0,0,0,0.504430166445322,NA,0.181087312972935,NA
43,18,1000,43,0,0,0,0.497940393619591,NA,0.15380446837658,NA
44,18,1000,44,0,0,0,0.500996413803948,NA,0.163144036214811,NA
45,18,1000,45,0,0,0,0.505322181807291,NA,0.185221180299049,NA
46,18,1000,46,0,0,0,0.499112289962722,NA,0.164728470385468,NA
47,18,1000,47,0,0,0,0.494699444118707,NA,0.15630131518439,NA
48,18,1000,48,0,0,0,0.49797904718184,NA,0.164568981706239,NA
49,18,1000,49,0,0,0,0.500940070723684,NA,0.170091863587998,NA
50,18,1000,50,0,0,0,0.498038742095305,NA,0.159139592142082,NA
51,18,1000,51,0,0,0,0.496922263476948,NA,0.160819901902917,NA
52,18,1000,52,0,0,0,0.495897336730742,NA,0.163473361826105,NA
53,18,1000,53,0,0,0,0.499880501754441,NA,0.164882736032381,NA
54,18,1000,54,0,0,0,0.501975036135762,NA,0.168259336382597,NA
55,18,1000,55,0,0,0,0.494238439516603,NA,0.150780117549719,NA
56,18,1000,56,0,0,0,0.499939142735011,NA,0.163093389326677,NA
57,18,1000,57,0,0,0,0.498910114684211,NA,0.178556916701635,NA
58,18,1000,58,0,0,0,0.50395600932152,NA,0.174412940060451,NA
59,18,1000,59,0,0,0,0.496620951431612,NA,0.155643206899813,NA
60,18,1000,60,0,0,0,0.496316625180042,NA,0.150883337480756,NA
61,18,1000,61,0,0,0,0.501098550818536,NA,0.170594403275195,NA
62,18,1000,62,0,0,0,0.4970081220316,NA,0.182922980314747,NA
63,18,1000,63,0,0,0,0.49852082478938,NA,0.177231607418305,NA
64,18,1000,64,0,0,0,0.502633650920475,NA,0.172971449100527,NA
65,18,1000,65,0,0,0,0.505506830468671,NA,0.183695507958383,NA
66,18,1000,66,0,0,0,0.500336629587021,NA,0.166340091779067,NA
67,18,1000,67,0,0,0,0.498090197948287,NA,0.155509206541044,NA
68,18,1000,68,0,0,0,0.495153298306673,NA,0.150868763958606,NA
69,18,1000,69,0,0,0,0.497995545542919,NA,0.169697491020778,NA
70,18,1000,70,0,0,0,0.503545317344691,NA,0.172780456560594,NA
71,18,1000,71,0,0,0,0.497473920804338,NA,0.154690089956754,NA
72,18,1000,72,0,0,0,0.497719434664826,NA,0.173414666837508,NA
73,18,1000,73,0,0,0,0.502774988524189,NA,0.182431074669668,NA
74,18,1000,74,0,0,0,0.501008524561164,NA,0.185699066865214,NA
75,18,1000,75,0,0,0,0.497543762343067,NA,0.173767558085615,NA
76,18,1000,76,0,0,0,0.494358363631488,NA,0.160340766223179,NA
77,18,1000,77,0,0,0,0.499212184877336,NA,0.169558810499072,NA
78,18,1000,78,0,0,0,0.507181483569684,NA,0.18750457775709,NA
79,18,1000,79,0,0,0,0.497033909909854,NA,0.165589822106398,NA
80,18,1000,80,0,0,0,0.495854118825385,NA,0.163338903792543,NA
81,18,1000,81,0,0,0,0.504819680651235,NA,0.18145250217129,NA
82,18,1000,82,0,0,0,0.494324755664814,NA,0.143572283414322,NA
83,18,1000,83,0,0,0,0.503444610794623,NA,0.184380389696183,NA
84,18,1000,84,0,0,0,0.498223084209032,NA,0.17979071285788,NA
85,18,1000,85,0,0,0,0.502018514641624,NA,0.172168310170639,NA
86,18,1000,86,0,0,0,0.505538974469141,NA,0.183656946355918,NA
87,18,1000,87,0,0,0,0.496567007429073,NA,0.147072222493908,NA
88,18,1000,88,0,0,0,0.506795569400854,NA,0.179330267026283,NA
89,18,1000,89,0,0,0,0.500659873623458,NA,0.167793250656046,NA
90,18,1000,90,0,0,0,0.496829823577662,NA,0.19245410061675,NA
91,18,1000,91,0,0,0,0.502533783284375,NA,0.17227246432431,NA
92,18,1000,92,0,0,0,0.503581799656666,NA,0.165843908008418,NA
93,18,1000,93,0,0,0,0.496543259540716,NA,0.151743037216974,NA
94,18,1000,94,0,0,0,0.495856277209514,NA,0.183368790580288,NA
95,18,1000,95,0,0,0,0.497771975409977,NA,0.165422097201588,NA
96,18,1000,96,0,0,0,0.49530801912434,NA,0.163779680359011,NA
97,18,1000,97,0,0,0,0.503332496718357,NA,0.17109483711472,NA
98,18,1000,98,0,0,0,0.494852504826936,NA,0.151407015191958,NA
99,18,1000,99,0,0,0,0.493251143438973,NA,0.163939528674323,NA
100,18,1000,100,0,0,0,0.499879417795536,NA,0.163448852340058,NA
101,18,1250,1,0,0,0,0.493972016965148,NA,0.1446041278192,NA
102,18,1250,2,0,0,0,0.493608868411959,NA,0.140730816276298,NA
103,18,1250,3,0,0,0,0.498928325128719,NA,0.145840906859112,NA
104,18,1250,4,0,0,0,0.495601020571692,NA,0.159734517036185,NA
105,18,1250,5,0,0,0,0.498749927190083,NA,0.170181279730891,NA
106,18,1250,6,0,0,0,0.48994609821098,NA,0.136153660105875,NA
107,18,1250,7,0,0,0,0.494298074806636,NA,0.138713592112764,NA
108,18,1250,8,0,0,0,0.491447855097728,NA,0.133507436705627,NA
109,18,1250,9,0,0,0,0.494678749968961,NA,0.14092162100226,NA
110,18,1250,10,0,0,0,0.500990182858776,NA,0.171020135545604,NA
111,18,1250,11,0,0,0,0.487725112652694,NA,0.126879085684067,NA
112,18,1250,12,0,0,0,0.493271495006648,NA,0.1405820753858,NA
113,18,1250,13,0,0,0,0.495856108308734,NA,0.153953941791079,NA
114,18,1250,14,0,0,0,0.493611978977841,NA,0.144307796347749,NA
115,18,1250,15,0,0,0,0.493313097159946,NA,0.14696461912879,NA
116,18,1250,16,0,0,0,0.493340793071369,NA,0.156362850210706,NA
117,18,1250,17,0,0,0,0.49194452326943,NA,0.144660854199559,NA
118,18,1250,18,0,0,0,0.496787789308547,NA,0.149343413600917,NA
119,18,1250,19,0,0,0,0.497637671187634,NA,0.152705209650193,NA
120,18,1250,20,0,0,0,0.494446619284784,NA,0.150082046738918,NA
121,18,1250,21,0,0,0,0.496569036971192,NA,0.147965296833756,NA
122,18,1250,22,0,0,0,0.498586283646911,NA,0.158961030525618,NA
123,18,1250,23,0,0,0,0.499435725489707,NA,0.182773267815445,NA
124,18,1250,24,0,0,0,0.496706419369939,NA,0.157601938396268,NA
125,18,1250,25,0,0,0,0.494046137998806,NA,0.149234755336566,NA
126,18,1250,26,0,0,0,0.492731965745805,NA,0.149596414491394,NA
127,18,1250,27,0,0,0,0.494317526608112,NA,0.142690725642355,NA
128,18,1250,28,0,0,0,0.49791466240061,NA,0.154883311106932,NA
129,18,1250,29,0,0,0,0.493789786539936,NA,0.142058699499151,NA
130,18,1250,30,0,0,0,0.493309434551957,NA,0.137752962649693,NA
131,18,1250,31,0,0,0,0.488932905377256,NA,0.127450019913094,NA
132,18,1250,32,0,0,0,0.492825310449575,NA,0.13582331251419,NA
133,18,1250,33,0,0,0,0.495952567961641,NA,0.149784898433966,NA
134,18,1250,34,0,0,0,0.497525656707306,NA,0.148936615216325,NA
135,18,1250,35,0,0,0,0.496540184238689,NA,0.157471884292932,NA
136,18,1250,36,0,0,0,0.50151659842436,NA,0.167955581225299,NA
137,18,1250,37,0,0,0,0.49509016442122,NA,0.144612145214019,NA
138,18,1250,38,0,0,0,0.492183927308268,NA,0.140966206162776,NA
139,18,1250,39,0,0,0,0.502241067809766,NA,0.154488380068155,NA
140,18,1250,40,0,0,0,0.496819100787824,NA,0.154465820489295,NA
141,18,1250,41,0,0,0,0.495464355449316,NA,0.150757821331187,NA
142,18,1250,42,0,0,0,0.493064084069612,NA,0.13382592688561,NA
143,18,1250,43,0,0,0,0.493239625445507,NA,0.14258234694603,NA
144,18,1250,44,0,0,0,0.493555564040042,NA,0.15784864415446,NA
145,18,1250,45,0,0,0,0.498292167369767,NA,0.16056083032206,NA
146,18,1250,46,0,0,0,0.495299624858551,NA,0.151373911913978,NA
147,18,1250,47,0,0,0,0.492681843399133,NA,0.138161792997506,NA
