"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,15000,1,1,1,1,0.278693936986033,0.147871173366453,0.0519217506284746,0.0504984530464214,75.4472038464196
2,24,15000,2,1,1,1,0.274964791205962,0.141560575420227,0.0459852309148434,0.0445636712017516,76.2766041274593
3,24,15000,3,1,1,1,0.277732240948291,0.147247663949655,0.0469684930314419,0.0455467136858676,76.1928684428996
4,24,15000,4,1,1,1,0.276747052464214,0.142955750801756,0.0434368660551101,0.0420144513466821,75.6701557772093
5,24,15000,5,1,1,1,0.276702237104881,0.14642573813013,0.0409540567235972,0.0454637219648911,75.3573710749074
6,24,15000,6,1,1,1,0.274951537998055,0.142830965594865,0.0411495928579986,0.0397285536966111,75.8879844428943
7,24,15000,7,1,1,1,0.281428648351142,0.149966469189202,0.0612403198103831,0.0598171891393275,75.1618578481893
8,24,15000,8,1,1,1,0.280540044108683,0.148549692161975,0.0573642787317642,0.0559420198310173,75.7946458692201
9,24,15000,9,1,1,1,0.275218763865377,0.143064145806942,0.0370638934620318,0.0359334653371827,75.9100501488646
10,24,15000,10,1,1,1,0.279736237076484,0.148181545501053,0.0546371232697647,0.0532147070519752,75.7317931927066
11,24,15000,11,1,1,1,0.278691687775846,0.149212687091022,0.0489826761309005,0.0475607599753739,75.38353345616
12,24,15000,12,1,1,1,0.276877178723612,0.146387004931796,0.0418390342410679,0.040443493082791,75.7062776117731
13,24,15000,13,1,1,1,0.27846011546533,0.148671206077306,0.0489772909018513,0.0475557572828791,75.3170570424496
14,24,15000,14,1,1,1,0.277913246796781,0.148441435803158,0.0373265797845251,0.0361633282911874,75.1553809739631
15,24,15000,15,1,1,1,0.277088788993188,0.144945117158384,0.0436047374286844,0.0510004784208431,75.6820245295362
16,24,15000,16,1,1,1,0.279642439073809,0.147396759942383,0.0565358406303094,0.0551133201725751,75.6039396539215
17,24,15000,17,1,1,1,0.277036084305432,0.147088698706432,0.0469501612960058,0.0455357587180968,75.5544798847816
18,24,15000,18,1,1,1,0.276166365471489,0.143135915492231,0.0493222951992067,0.0479049526811672,75.9007061172314
19,24,15000,19,1,1,1,0.277443717305467,0.147875615183646,0.0411956758054066,0.0397778116738305,75.1192134897391
20,24,15000,20,1,1,1,0.276202279535869,0.144397529476685,0.0415744940171304,0.0418967774896673,75.5847082718876
21,24,15000,21,1,1,1,0.273422017437689,0.138387175002258,0.0417256985643974,0.0403047126121591,76.3246456662111
22,24,15000,22,1,1,1,0.279294057396503,0.147407449547549,0.0541293668780956,0.0527078626746617,75.56807760371
23,24,15000,23,1,1,1,0.282048168197523,0.156200159706408,0.0502521085751758,0.048831747424488,74.3915586615361
24,24,15000,24,1,1,1,0.278071423673467,0.149788844300437,0.0437233393688551,0.0435115984734065,75.261962579054
25,24,15000,25,1,1,1,0.278151963784661,0.148460142467766,0.0452907456169585,0.0438652919419355,75.1081729184747
26,24,15000,26,1,1,1,0.277683913615809,0.146231779823593,0.0454530303761767,0.0440282315535665,75.3678017885476
27,24,15000,27,1,1,1,0.276923898782864,0.145288842824875,0.0498583186136852,0.048438980805807,75.5787993402846
28,24,15000,28,1,1,1,0.275559971154616,0.141433684814854,0.0472657898763053,0.0458447199575746,76.3532450675075
29,24,15000,29,1,1,1,0.278551547634528,0.150318041866166,0.043959555838163,0.0425347800622795,75.1129724177061
30,24,15000,30,1,1,1,0.278930550382512,0.150469234182453,0.0392614490264617,0.0378350150228886,75.0556370629012
31,24,15000,31,1,1,1,0.278917622928087,0.148878849196562,0.0438134134075763,0.0481997185208683,75.2237415741154
32,24,15000,32,1,1,1,0.280029119454203,0.149336338362505,0.048950115898514,0.0475272035922613,75.3528443128339
33,24,15000,33,1,1,1,0.280627603243088,0.151291283575715,0.0502793167440465,0.0488558919379525,74.9757434544942
34,24,15000,34,1,1,1,0.280273294285139,0.149683698198613,0.0511061577164233,0.0496842359246377,75.3769524792805
35,24,15000,35,1,1,1,0.283973015431028,0.153414972645933,0.0600113931827076,0.0585882099865896,75.1641469030876
36,24,15000,36,1,1,1,0.276663957255343,0.144559391661531,0.0465834192397748,0.0451663139156946,75.9476206812887
37,24,15000,37,1,1,1,0.277171772559523,0.147379277820792,0.0408409359516205,0.0394201822547547,75.2324040392591
38,24,15000,38,1,1,1,0.279389305962668,0.149936173198169,0.0460593359383837,0.0446358189743712,74.9132576551941
39,24,15000,39,1,1,1,0.277980125659937,0.146301634453378,0.0411229054845221,0.040174040404031,75.2642097160512
