"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,6,1000,1,0,1,0,0.0890703658978607,NA,0.0922572057885254,NA
2,6,1000,2,0,1,0,0.0904906051124914,NA,0.0977096995751065,NA
3,6,1000,3,0,0,0,0.103144246771271,NA,0.11606590358538,NA
4,6,1000,4,0,1,0,0.0875881688121331,NA,0.091963620335791,NA
5,6,1000,5,0,1,0,0.0826263927611449,NA,0.0905919359685885,NA
6,6,1000,6,0,1,0,0.0890329966131593,NA,0.0981965384007569,NA
7,6,1000,7,0,1,0,0.0865119000482514,NA,0.0892110187868739,NA
8,6,1000,8,0,0,0,0.103468926591287,NA,0.109314449095884,NA
9,6,1000,9,0,1,0,0.0940748728063814,NA,0.0993014593542702,NA
10,6,1000,10,0,0,0,0.101765981609176,NA,0.107123751084098,NA
11,6,1000,11,0,1,0,0.0863182970219665,NA,0.0927952366522063,NA
12,6,1000,12,0,1,0,0.0905784012419885,NA,0.0883313071368964,NA
13,6,1000,13,0,1,0,0.091027188460076,NA,0.0977690809940766,NA
14,6,1000,14,0,1,0,0.0948401115385853,NA,0.0989253674682958,NA
15,6,1000,15,0,1,0,0.0966546787704884,NA,0.0969876302956318,NA
16,6,1000,16,0,1,0,0.102065110613116,NA,0.109944022080588,NA
17,6,1000,17,0,1,0,0.0904560972907788,NA,0.0951033449773871,NA
18,6,1000,18,0,1,0,0.088789586789953,NA,0.0948354443359223,NA
19,6,1000,19,0,1,0,0.0898019896902001,NA,0.09505337303082,NA
20,6,1000,20,0,1,0,0.0921454663653822,NA,0.0976239842918801,NA
21,6,1000,21,0,1,0,0.0845017950452565,NA,0.0916715975994216,NA
22,6,1000,22,0,1,0,0.0944835703991966,NA,0.101862959571456,NA
23,6,1000,23,0,1,0,0.0889332614244931,NA,0.0947998270689279,NA
24,6,1000,24,0,1,0,0.094889419823939,NA,0.0985749620108233,NA
25,6,1000,25,0,1,0,0.0883350885896928,NA,0.0926853949667344,NA
26,6,1000,26,0,1,0,0.0801901363833003,NA,0.084779244040265,NA
27,6,1000,27,0,1,0,0.0983833414600567,NA,0.0992259719502128,NA
28,6,1000,28,0,1,0,0.0981295042681471,NA,0.104204361681435,NA
29,6,1000,29,0,1,0,0.0912940697251398,NA,0.095952638420233,NA
30,6,1000,30,0,1,0,0.0964676295687687,NA,0.108679935506792,NA
31,6,1000,31,0,1,0,0.0921738595522528,NA,0.102744275059455,NA
32,6,1000,32,0,1,0,0.0907091941623706,NA,0.0962558107475877,NA
33,6,1000,33,0,0,0,0.103527759454615,NA,0.106836483740417,NA
34,6,1000,34,0,1,0,0.0909068075411597,NA,0.09695922311306,NA
35,6,1000,35,0,1,0,0.0992267050409204,NA,0.109551761121276,NA
36,6,1000,36,0,1,0,0.0960156597882737,NA,0.103132025912609,NA
37,6,1000,37,0,1,0,0.0921744553525593,NA,0.0997264293499426,NA
38,6,1000,38,0,1,0,0.10780914295372,NA,0.107683816489288,NA
39,6,1000,39,0,1,0,0.0915691875559083,NA,0.0961265749967667,NA
40,6,1000,40,0,1,0,0.0875427820063112,NA,0.0917859864468894,NA
41,6,1000,41,0,1,0,0.0967661688661261,NA,0.101952793709616,NA
42,6,1000,42,0,1,0,0.0948685557403296,NA,0.100581873035245,NA
43,6,1000,43,0,1,0,0.096775488660746,NA,0.100033454528206,NA
44,6,1000,44,0,1,0,0.0913596974749321,NA,0.0958102825465757,NA
45,6,1000,45,0,1,0,0.096301475516654,NA,0.104396327537652,NA
46,6,1000,46,0,1,0,0.0940748070179996,NA,0.101694843069091,NA
47,6,1000,47,0,1,0,0.0929361281041764,NA,0.0987516342437039,NA
48,6,1000,48,0,1,0,0.0944768940871524,NA,0.104792463674931,NA
49,6,1000,49,0,1,0,0.085862337460317,NA,0.0885581402220164,NA
50,6,1000,50,0,1,0,0.0880358231927212,NA,0.0979335721169024,NA
51,6,1000,51,0,1,0,0.0935414563649132,NA,0.0995262806659589,NA
