"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,37500,1,1,1,1,0.421485712551616,0.314409274956814,0.0309386781256574,0.0308523146087356,30.2227367545238
2,24,37500,2,1,1,1,0.420351816740442,0.313832075120193,0.0263279518397689,0.0292534299360752,30.1284804619541
3,24,37500,3,1,1,1,0.42055357096907,0.313254463984907,0.0273034418231124,0.0270091698843668,30.2055655117547
4,24,37500,4,1,1,1,0.420209006488372,0.312463427971919,0.0275488829324489,0.027207241296435,30.2715428249153
5,24,37500,5,1,1,1,0.420845060362787,0.314086389011802,0.0272720481678941,0.0269228915315546,30.1736764766589
6,24,37500,6,1,1,1,0.421840301639318,0.314564947323279,0.0316067237810504,0.0315203602637669,30.2213491607313
7,24,37500,7,1,1,1,0.421752744089395,0.314389622248038,0.0306042872114829,0.0305179236920143,30.212081366202
8,24,37500,8,1,1,1,0.420047606528825,0.313223920060696,0.0256134189861676,0.0249312852364748,30.1682161234306
9,24,37500,9,1,1,1,0.420335090224825,0.313593966767109,0.0259697398655385,0.0252920470740996,30.1499250326003
10,24,37500,10,1,1,1,0.419895659255579,0.312329900632422,0.0255121898945714,0.0248741431619253,30.2245397576142
11,24,37500,11,1,1,1,0.421067338546499,0.314630244215056,0.0289158080584073,0.0287501046856072,30.1754887220897
12,24,37500,12,1,1,1,0.420841868221798,0.313810019027021,0.0283084049099652,0.0281263184031917,30.1823770560702
13,24,37500,13,1,1,1,0.421489116628145,0.314817455346527,0.0298125204218216,0.0297232101541203,30.16488202936
14,24,37500,14,1,1,1,0.420592936861632,0.314086939957027,0.026283221067857,0.0257471658299562,30.118433798102
15,24,37500,15,1,1,1,0.420231924260801,0.313617841557692,0.0251137438241591,0.0242943084651837,30.1518305072505
16,24,37500,16,1,1,1,0.423349373587126,0.31667115972987,0.0372116370443154,0.0371252735151294,30.1654202208741
17,24,37500,17,1,1,1,0.421011260458514,0.313931196335758,0.0283652211180466,0.0281922882359093,30.1963004949544
18,24,37500,18,1,1,1,0.420596834767267,0.313425145831596,0.0277966042078278,0.0275208807754015,30.2039951608994
19,24,37500,19,1,1,1,0.421165304204935,0.314802621842219,0.028591103575149,0.0283916174444107,30.1362587562266
20,24,37500,20,1,1,1,0.420163220444856,0.312757475908081,0.0262281347662721,0.025492663430683,30.2331400476622
21,24,37500,21,1,1,1,0.422106945270487,0.3159960943471,0.0316314311356039,0.0315450675974113,30.1171698210272
22,24,37500,22,1,1,1,0.420681835316155,0.314305093937457,0.026562870951795,0.0259806996365394,30.0859205314671
23,24,37500,23,1,1,1,0.419401989238739,0.312274799499845,0.022857441349345,0.0205641718757483,30.1868537328663
24,24,37500,24,1,1,1,0.42106878733486,0.314166361541076,0.0285942585877701,0.0283761474422478,30.172317651626
25,24,37500,25,1,1,1,0.422341602783701,0.316821397981055,0.0315414578667127,0.0314550943207248,30.0732895847865
26,24,37500,26,1,1,1,0.421361636116478,0.314311166872173,0.03063290648493,0.0305465429673393,30.2200493122283
27,24,37500,27,1,1,1,0.420949896720075,0.314724871899456,0.0278281526687859,0.0275300271819602,30.1525683185375
28,24,37500,28,1,1,1,0.421530132771808,0.314573714360296,0.0307872435276475,0.0307008799937522,30.1396005835262
29,24,37500,29,1,1,1,0.41977757873807,0.312393576098828,0.0258353088668676,0.0281314750324752,30.2436737697252
30,24,37500,30,1,1,1,0.422194656752534,0.315862836888532,0.0328197098221122,0.0327333462868507,30.1330189148663
31,24,37500,31,1,1,1,0.42084863194169,0.314640569698726,0.0280716779143615,0.0279039372745744,30.075969149455
32,24,37500,32,1,1,1,0.419911449730118,0.3126797311678,0.0250622472838746,0.0238880700817906,30.2378924085094
33,24,37500,33,1,1,1,0.421288196177054,0.313495640896024,0.0315482758077865,0.0314619123005947,30.2649368725453
34,24,37500,34,1,1,1,0.419904499232071,0.313825753256011,0.0245377040284484,0.0232623207472955,30.092612832852
35,24,37500,35,1,1,1,0.419704657969516,0.312834741134022,0.0237369737480674,0.0221525306727537,30.1328144734295
36,24,37500,36,1,1,1,0.419494290228687,0.312426714952695,0.0234642102386846,0.0218645218196588,30.1700031557301
37,24,37500,37,1,1,1,0.421077941408382,0.314369342239283,0.0283534052578312,0.0280911319246646,30.1862519167898
38,24,37500,38,1,1,1,0.420159645490596,0.313431481492172,0.0256047413373867,0.0248188761630508,30.1356112379385
39,24,37500,39,1,1,1,0.419666195219498,0.312483759139135,0.0249765975301721,0.0240086245931852,30.2061977265411
40,24,37500,40,1,1,1,0.420209592870393,0.313416365241922,0.026084261514343,0.0253986308389771,30.1786953090056
41,24,37500,41,1,1,1,0.420154496651206,0.313050067568195,0.0259153993558009,0.0252822821998566,30.1794920553528
42,24,37500,42,1,1,1,0.420725199787851,0.314412783179651,0.0279252913131947,0.027632723764609,30.1556665461309
43,24,37500,43,1,1,1,0.42026546838577,0.312661684638533,0.0261590166728733,0.0255846942338018,30.2661153234934
44,24,37500,44,1,1,1,0.421061164723497,0.31479820584209,0.028249197853731,0.0280259255864072,30.1395656424505
45,24,37500,45,1,1,1,0.421409598618955,0.314230967288101,0.0306349343120005,0.0305485707941906,30.2191818419438
46,24,37500,46,1,1,1,0.422081280401336,0.315566930836379,0.03123160608355,0.031145242554605,30.1668754587068
47,24,37500,47,1,1,1,0.421550783692425,0.314982448861981,0.0303921722619116,0.030305808733828,30.1703903555536
48,24,37500,48,1,1,1,0.419996156495384,0.312173284648015,0.0261742193941768,0.0254230916160686,30.2658249595915
