"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,6,2500,1,0,1,0,0.0680128942083505,NA,0.0740183467214447,NA,1.90728629112598
2,6,2500,2,0,1,0,0.0950951408916905,NA,0.102257965738528,NA,1.88386044190912
3,6,2500,3,0,1,0,0.0895470010700992,NA,0.0943763735262733,NA,1.91588417328059
4,6,2500,4,0,1,0,0.0802861877419399,NA,0.0862805294284646,NA,1.87149210451023
5,6,2500,5,1,1,0,0.0683622627270973,0.049417246424514,0.0717328235434068,0.0536561507422745,1.89106115865294
6,6,2500,6,0,1,0,0.0818995868857285,NA,0.0858159906525432,NA,1.86158433324261
7,6,2500,7,0,1,0,0.0827691957039905,NA,0.0910426150677469,NA,1.89266222610495
8,6,2500,8,0,1,0,0.0775387366891559,NA,0.0862410216844651,NA,1.87876103045758
9,6,2500,9,0,1,0,0.0745091892037208,NA,0.0825802640445057,NA,1.89720016967707
10,6,2500,10,0,1,0,0.0696788382197314,NA,0.0744115182974377,NA,1.83717755617762
11,6,2500,11,0,1,0,0.0649092747119075,NA,0.0696389721721985,NA,1.86458265818117
12,6,2500,12,1,1,0,0.0571606574919864,0.0501302479158822,0.0586904134392178,0.0503464096507247,1.91387014609209
13,6,2500,13,0,1,0,0.0717380764962514,NA,0.0782308883632172,NA,1.88156166199299
14,6,2500,14,0,1,0,0.0861173850477655,NA,0.0947969112282913,NA,1.88187938497931
15,6,2500,15,0,1,0,0.0742996291369609,NA,0.0778626778372879,NA,1.88133686399957
16,6,2500,16,0,1,0,0.0790881521518766,NA,0.0853272572661049,NA,1.86945669350745
17,6,2500,17,0,1,0,0.0709833360108596,NA,0.0775594993473332,NA,1.83603795215194
18,6,2500,18,0,1,0,0.06923530813972,NA,0.0749417496880138,NA,1.88653181881033
19,6,2500,19,0,1,0,0.078398165468184,NA,0.0865622219288443,NA,1.85786673607495
20,6,2500,20,0,1,0,0.0733302849688108,NA,0.0777152359298598,NA,1.86160822333517
21,6,2500,21,0,1,0,0.0712871068081366,NA,0.0763705507625076,NA,1.92279573899339
22,6,2500,22,0,1,0,0.0798561429303244,NA,0.0850363572448982,NA,1.85155281582149
23,6,2500,23,0,1,0,0.0626997640412021,NA,0.0703564161335569,NA,1.91262158511131
24,6,2500,24,0,1,0,0.0884911109418965,NA,0.0960483746429921,NA,1.88267790892268
25,6,2500,25,0,1,0,0.0875037167498368,NA,0.0939060197815013,NA,1.87546661104697
26,6,2500,26,0,1,0,0.072830404823182,NA,0.0764643656476037,NA,1.86066229413951
27,6,2500,27,0,1,0,0.0798390699301531,NA,0.0873676394441512,NA,1.82699129266982
28,6,2500,28,0,1,0,0.068094662740706,NA,0.0751183758553639,NA,1.8985196821149
29,6,2500,29,1,1,0,0.063029581091753,0.0560936796122374,0.0660886630248155,0.0537080602987984,1.8731109245342
30,6,2500,30,0,1,0,0.0743807799420114,NA,0.0795315514836529,NA,1.90447156950019
