"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,36,2000,1,1,1,0,0.120920719403137,0.0739860320780509,0.111798055943843,0.0642980612555868,3.21035037016585
2,36,2000,2,0,1,0,0.131266019625162,NA,0.131145300525983,NA,3.2887225831353
3,36,2000,3,1,1,0,0.124687022793732,0.0772614833576169,0.116337822620598,0.06883782787931,3.28142947541256
4,36,2000,4,1,1,0,0.117072549606151,0.0680437718838865,0.108634316180668,0.0611343161854341,3.2158380835897
5,36,2000,5,0,1,0,0.138844570756921,NA,0.132078065498914,NA,3.19890070130194
6,36,2000,6,1,1,0,0.109282977936595,0.068417547601077,0.107692667125681,0.0601926709901624,3.25924843017595
7,36,2000,7,1,1,0,0.103544800389322,0.0596200494338686,0.0982708247537123,0.0550112698293778,3.22636311202482
8,36,2000,8,1,1,0,0.136992261634203,0.0897940223584828,0.133428191086552,0.0859281912354458,3.15925451896785
9,36,2000,9,0,1,0,0.135441269943182,NA,0.130680125002738,NA,3.21538856608411
10,36,2000,10,1,1,0,0.13114182077501,0.0775628734862027,0.129370027446407,0.0818700314407041,3.18784125833803
11,36,2000,11,1,1,0,0.105287367155184,0.0684551860468216,0.10149980884876,0.0671022073176677,3.34377633762057
12,36,2000,12,1,1,0,0.126150528346707,0.0793907638750294,0.116399366788478,0.0688992070003513,3.19617560500817
13,36,2000,13,0,1,0,0.128828261246633,NA,0.126017608748037,NA,3.29089420675667
14,36,2000,14,1,1,0,0.118685551598188,0.0746580221130611,0.107898556765777,0.0603982443884893,3.26099567723668
15,36,2000,15,1,1,0,0.108052953259024,0.056465165376891,0.104918468617898,0.0574184652059527,3.25405427307191
16,36,2000,16,1,1,0,0.122134040018838,0.0711348796408883,0.117266350052388,0.0697664062615256,3.30332823878316
17,36,2000,17,1,1,0,0.112635289074365,0.0641268268369286,0.108791040512607,0.061290614960524,3.156496751582
18,36,2000,18,1,1,0,0.122874661755924,0.0718287933986675,0.120159466492175,0.0726595377991254,3.19085048732951
19,36,2000,19,0,1,0,0.141834384121109,NA,0.136262688822776,NA,3.13866406579486
20,36,2000,20,1,1,0,0.121803055154421,0.0713820388080504,0.117916792915593,0.0704167950913746,3.21073280872873
21,36,2000,21,0,1,0,0.127103643371182,NA,0.117151290684968,NA,3.24628121181678
22,36,2000,22,1,1,0,0.118897600665887,0.066544612184374,0.113507758765879,0.0660077689147172,3.19268830203006
23,36,2000,23,1,1,0,0.120778610257928,0.0679156000742441,0.119249923812608,0.0717494833906084,3.22572038132775
24,36,2000,24,1,1,0,0.108543331465556,0.0598072848343753,0.102231139003683,0.0547310791814003,3.21934344412125
25,36,2000,25,0,1,0,0.138360898210764,NA,0.13524872521727,NA,3.20937518153022
26,36,2000,26,0,1,0,0.116368734533022,NA,0.109823172617711,NA,3.22055098276836
27,36,2000,27,0,1,0,0.13238694267284,NA,0.126152463929239,NA,3.19815411710357
28,36,2000,28,1,1,0,0.110715443134696,0.059258784469315,0.107664199432226,0.0601624776364699,3.25409459163382
29,36,2000,29,1,1,0,0.112545324981905,0.0681138252583876,0.112114838888974,0.0646148382573214,3.24737251592789
30,36,2000,30,0,1,0,0.123540013242632,NA,0.11561426484079,NA,3.21354330894594
31,36,2000,31,1,1,0,0.107427896535484,0.0649487521174926,0.0982966467917889,0.0570609328818655,3.24099705437469
32,36,2000,32,1,1,0,0.10895999757082,0.0607658288497933,0.106059091859902,0.0586662127768643,3.24551955120327
33,36,2000,33,1,1,0,0.11227585932516,0.0639293049874192,0.104013864103041,0.0565133389992188,3.27070407839272
34,36,2000,34,1,1,0,0.115959091402208,0.0660864784048888,0.109504432179478,0.0620039103349825,3.24331590406651
35,36,2000,35,1,1,0,0.112493061783005,0.0620077633233967,0.109802554251964,0.0623025608076425,3.21961890603679
36,36,2000,36,0,1,0,0.142987805915094,NA,0.135775465830684,NA,3.25059879913391
37,36,2000,37,0,1,0,0.140782122246271,NA,0.135755720349701,NA,3.29320965082433
38,36,2000,38,1,1,0,0.116747374483062,0.0688053835824839,0.110351901481311,0.0628519255671571,3.18655114750843
39,36,2000,39,1,1,0,0.121803221862233,0.0772808172628292,0.115872985166484,0.0683732715760527,3.20583668203405
40,36,2000,40,0,1,0,0.137260061561037,NA,0.12815146455789,NA,3.17866684260342
41,36,2000,41,1,1,0,0.112915505693508,0.0646886287148083,0.103729377720475,0.0562293301907692,3.24531187908153
42,36,2000,42,0,1,0,0.138607142522676,NA,0.137070357207224,NA,3.27599155295811
43,36,2000,43,1,1,0,0.129062707906665,0.0766411824628253,0.124928867288122,0.0774288373973725,3.18407930473874
44,36,2000,44,1,1,0,0.111023168360425,0.0555234298532774,0.115094976457255,0.0675949818469457,3.22943772094283
45,36,2000,45,1,1,0,0.121832715444953,0.074077965054592,0.116269785508625,0.0687697851203949,3.24340077854153
46,36,2000,46,0,1,0,0.118815979119991,NA,0.111625736838584,NA,3.22085951807764
47,36,2000,47,0,1,0,0.142374873741257,NA,0.136861151486231,NA,3.21668191969807
48,36,2000,48,1,1,0,0.11584075629733,0.0658831475196573,0.107145115057684,0.0596450503028201,3.25629701304928
49,36,2000,49,1,1,0,0.118111022029409,0.068305674442239,0.11225387326701,0.0647538404733597,3.22433044599703
50,36,2000,50,0,1,0,0.12560950125445,NA,0.124422277329471,NA,3.19859043603185
51,36,2000,51,1,1,0,0.128975343097813,0.0853623446329113,0.117560143059752,0.070059401128365,3.24112859633199
52,36,2000,52,0,1,0,0.154878810018744,NA,0.148734489900462,NA,3.22467002509663
53,36,2000,53,0,1,0,0.116886528703793,NA,0.114407119120917,NA,3.19405100901042
54,36,2000,54,1,1,0,0.107681720420175,0.0613729663685819,0.100388337715858,0.06086522756766,3.25348203427201
55,36,2000,55,0,1,0,0.132508194549129,NA,0.122018487129031,NA,3.28141195391292
56,36,2000,56,1,1,0,0.11945116743146,0.0653975454948199,0.119802351328402,0.072302335999035,3.31119446252107
57,36,2000,57,1,1,0,0.107727342700536,0.0617106859865258,0.100886233174782,0.0547768471347218,3.30460103819036
58,36,2000,58,1,1,0,0.126281215225964,0.0808667261594976,0.116080631406955,0.0685806359784499,3.22340196542705
59,36,2000,59,1,1,0,0.101618602768879,0.059193580288248,0.098645398334119,0.0588990715244389,3.33055119206127
60,36,2000,60,1,1,0,0.117879698748826,0.067293904542319,0.107087006984641,0.0595870159104292,3.27510631476395
61,36,2000,61,1,1,0,0.111108185301167,0.0787288913626309,0.101322256134789,0.0791528337210384,3.27438873296813
62,36,2000,62,1,1,0,0.104036543307304,0.0602490495970339,0.0965140586529424,0.0539914471346721,3.22851622769647
63,36,2000,63,1,1,0,0.109115316776956,0.0676624102140872,0.105318493795306,0.0578184913918869,3.21307612566903
64,36,2000,64,0,1,0,0.142861228417831,NA,0.143030301466128,NA,3.24302764393868
65,36,2000,65,1,1,0,0.116412356986172,0.0683199130938478,0.110832467219833,0.0633324640882434,3.23491027085629
66,36,2000,66,0,1,0,0.116269811776653,NA,0.108860355834601,NA,3.29836164480888
67,36,2000,67,1,1,0,0.115236386400759,0.0680779681695794,0.111160640662016,0.0636606417858911,3.39884029222854
68,36,2000,68,1,1,0,0.11106667124899,0.0617762593968045,0.103204515893667,0.0557045159834644,3.24590143025709
69,36,2000,69,0,1,0,0.127020501159962,NA,0.115823515711848,NA,3.22440884213639
70,36,2000,70,0,1,0,0.117505702663362,NA,0.116676096338847,NA,3.29046137079064
71,36,2000,71,0,1,0,0.123446535467733,NA,0.114979195645281,NA,3.27132281570111
72,36,2000,72,1,1,0,0.117609841949966,0.0656638440324787,0.113492263786014,0.0659922632158396,3.33804758337781
73,36,2000,73,1,1,0,0.10882182823108,0.060324609884306,0.102795044905468,0.0552948194363985,3.24963405251956
74,36,2000,74,0,1,0,0.121536455203342,NA,0.113643656183101,NA,3.25218413868196
75,36,2000,75,0,1,0,0.143668876944312,NA,0.136582146401714,NA,3.22147623348902
76,36,2000,76,0,1,0,0.128387113440028,NA,0.126206054845226,NA,3.23617500544493
77,36,2000,77,0,1,0,0.118090501787563,NA,0.108415057647153,NA,3.28460245178321
78,36,2000,78,1,1,0,0.126651640214398,0.0816513459945963,0.120741698818568,0.0732412494000429,3.1911558546786
79,36,2000,79,1,1,0,0.107075526111127,0.0619552062580238,0.101806062259138,0.0627748889821543,3.23497424281227
80,36,2000,80,0,1,0,0.119219371406267,NA,0.114473117589467,NA,3.30224839042332
81,36,2000,81,1,1,0,0.103845887828576,0.0543047166188341,0.10026851751919,0.0527689472210154,3.28489025096879
82,36,2000,82,0,1,0,0.112504963768853,NA,0.108924419317579,NA,3.262044232992
83,36,2000,83,1,1,0,0.121076483858593,0.0713367497638636,0.110701025882763,0.0632009396222207,3.25810559156167
84,36,2000,84,0,1,0,0.127787444771073,NA,0.11837434285133,NA,3.18390982512795
85,36,2000,85,0,1,0,0.139904896101846,NA,0.126054525450156,NA,3.19897632600542
86,36,2000,86,1,1,0,0.125308572720337,0.0748555978761815,0.119971237364168,0.0724712385453618,3.25656942050274
87,36,2000,87,1,1,0,0.109983818312519,0.0615842807825144,0.105294361625242,0.0577943557758427,3.28310407809331
88,36,2000,88,1,1,0,0.118392250078971,0.0706923249068348,0.11307302484364,0.068341755334492,3.2187650089859
89,36,2000,89,1,1,0,0.114078432860227,0.0667960681200569,0.106811485808167,0.0593114900676801,3.22771927800155
90,36,2000,90,0,1,0,0.124977133945891,NA,0.120193654804323,NA,3.28102991663114
91,36,2000,91,0,1,0,0.127072252330843,NA,0.122381774615653,NA,3.25064675417604
