"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,36,1000,1,0,0,0,0.071350777382755,NA,0.0762158161513312,NA
2,36,1000,2,0,1,0,0.0650208422012041,NA,0.0668961347280104,NA
3,36,1000,3,0,1,0,0.0835781020488483,NA,0.0808056059148795,NA
4,36,1000,4,0,0,0,0.0712721598527773,NA,0.0693758319836418,NA
5,36,1000,5,0,1,0,0.0717377460688646,NA,0.0732215468405614,NA
6,36,1000,6,0,1,0,0.0574000563268109,NA,0.0604761900208194,NA
7,36,1000,7,0,1,0,0.0889167805859118,NA,0.0940337028780945,NA
8,36,1000,8,0,1,0,0.0812310070923949,NA,0.0815452791457008,NA
9,36,1000,9,0,0,0,0.0768527306426094,NA,0.0705209044501276,NA
10,36,1000,10,0,0,0,0.0673409636538861,NA,0.0657813347283079,NA
11,36,1000,11,0,1,0,0.0698465735626423,NA,0.0710704828467835,NA
12,36,1000,12,0,0,0,0.0795246577976379,NA,0.0777232172655193,NA
13,36,1000,13,0,0,0,0.0772917955815371,NA,0.0753072535530944,NA
14,36,1000,14,0,0,0,0.0762633970627326,NA,0.0681997599129567,NA
15,36,1000,15,0,1,0,0.0853783167707748,NA,0.0856418466614887,NA
16,36,1000,16,0,1,0,0.0804271611268261,NA,0.0838647739577985,NA
17,36,1000,17,0,1,0,0.0718288679877968,NA,0.0759841782069643,NA
18,36,1000,18,0,0,0,0.0729014287520286,NA,0.0703244638107785,NA
19,36,1000,19,0,1,0,0.0722113749993332,NA,0.0689482095961179,NA
20,36,1000,20,0,0,0,0.0724246307627162,NA,0.0733902624060799,NA
21,36,1000,21,0,0,0,0.0808173713916557,NA,0.0790162737245645,NA
22,36,1000,22,0,1,0,0.0739057809124945,NA,0.0745943429993074,NA
23,36,1000,23,0,0,0,0.0677149908509778,NA,0.0664879762886656,NA
24,36,1000,24,0,1,0,0.0738517954465379,NA,0.0696312311095193,NA
25,36,1000,25,0,1,0,0.0783835017695936,NA,0.0830301690812456,NA
26,36,1000,26,0,0,0,0.0785759638010113,NA,0.0745400929809587,NA
27,36,1000,27,0,1,0,0.0717941320721023,NA,0.0735451580365807,NA
28,36,1000,28,0,0,0,0.0676465154103599,NA,0.0676527520843577,NA
29,36,1000,29,0,0,0,0.0788514445163038,NA,0.0725845731829512,NA
30,36,1000,30,0,0,0,0.101422202576418,NA,0.106228998760786,NA
31,36,1000,31,0,0,0,0.0722472058039214,NA,0.0714990197959941,NA
32,36,1000,32,0,1,0,0.0680310316261582,NA,0.0705281012071609,NA
33,36,1000,33,0,1,0,0.0786863927123844,NA,0.0790813261949484,NA
34,36,1000,34,0,1,0,0.0648060298800517,NA,0.067182043958563,NA
35,36,1000,35,0,0,0,0.0770977899134921,NA,0.0864180759232363,NA
36,36,1000,36,0,1,0,0.0707578685537467,NA,0.0688157795604447,NA
37,36,1000,37,0,1,0,0.0781893696574239,NA,0.0758533501005379,NA
38,36,1000,38,0,0,0,0.0872232584634459,NA,0.0954644841983212,NA
39,36,1000,39,0,1,0,0.0672662423196879,NA,0.0646849173386205,NA
40,36,1000,40,0,0,0,0.0764803581523575,NA,0.0763966484259951,NA
41,36,1000,41,0,1,0,0.075011039582909,NA,0.0720833988707669,NA
42,36,1000,42,0,1,0,0.0672233901470527,NA,0.0698761782962679,NA
43,36,1000,43,0,1,0,0.0727682187669378,NA,0.0746247327086635,NA
44,36,1000,44,0,0,0,0.0761875493725202,NA,0.0731682968920943,NA
45,36,1000,45,0,0,0,0.0670169610764274,NA,0.0653587638993982,NA
46,36,1000,46,0,0,0,0.0840644202382067,NA,0.0863660242220372,NA
47,36,1000,47,0,1,0,0.0789732574317889,NA,0.0762351640300824,NA
48,36,1000,48,0,0,0,0.0759765363941937,NA,0.087646162984556,NA
49,36,1000,49,0,1,0,0.0864155562047052,NA,0.0858466323187208,NA
50,36,1000,50,0,1,0,0.0731022012851089,NA,0.0690393328129637,NA
51,36,1000,51,0,1,0,0.0757273304036064,NA,0.073147942531087,NA
52,36,1000,52,0,0,0,0.0748741574483196,NA,0.071351882688103,NA
53,36,1000,53,0,1,0,0.0714650626937892,NA,0.075874545299569,NA
54,36,1000,54,0,0,0,0.0771241057372286,NA,0.086624583782101,NA
55,36,1000,55,0,1,0,0.0665833186042026,NA,0.0676673849648864,NA
56,36,1000,56,0,0,0,0.0703273571673721,NA,0.0702423244575873,NA
57,36,1000,57,0,1,0,0.0796640925147641,NA,0.0912462005392009,NA
58,36,1000,58,0,1,0,0.0760390167991895,NA,0.0733561218396813,NA
59,36,1000,59,0,1,0,0.0774200459594658,NA,0.0766578194273616,NA
60,36,1000,60,0,1,0,0.07008505131494,NA,0.069311953397503,NA
61,36,1000,61,0,1,0,0.0720811335807949,NA,0.0691445078680706,NA
62,36,1000,62,0,0,0,0.0754481994160028,NA,0.0735231373488104,NA
63,36,1000,63,0,1,0,0.0705795209416454,NA,0.0680384060109709,NA
64,36,1000,64,0,1,0,0.0940810008103685,NA,0.0866537519943063,NA
65,36,1000,65,0,1,0,0.0815162856518329,NA,0.0793333252767346,NA
66,36,1000,66,0,0,0,0.0725474972509904,NA,0.0761308942223366,NA
67,36,1000,67,0,1,0,0.083570026693186,NA,0.0780661405405234,NA
68,36,1000,68,0,0,0,0.0722786336657787,NA,0.0728921551087753,NA
69,36,1000,69,0,1,0,0.0677592948181341,NA,0.0685386453660599,NA
70,36,1000,70,0,1,0,0.0801251996173365,NA,0.0786928437712909,NA
71,36,1000,71,0,0,0,0.0722237567320854,NA,0.0710161497132102,NA
72,36,1000,72,0,0,0,0.0763997923161159,NA,0.0739932334668892,NA
73,36,1000,73,0,1,0,0.0699386664113034,NA,0.0723376211616957,NA
74,36,1000,74,0,1,0,0.0774460704688602,NA,0.0844045587402578,NA
75,36,1000,75,0,1,0,0.0742551148752641,NA,0.0714930651425291,NA
76,36,1000,76,0,1,0,0.0683265864608646,NA,0.0689738102611462,NA
77,36,1000,77,0,1,0,0.101196474905554,NA,0.119629065222495,NA
78,36,1000,78,0,1,0,0.0765298244797411,NA,0.082399796250526,NA
79,36,1000,79,0,0,0,0.070228178006328,NA,0.0708828692570162,NA
80,36,1000,80,0,1,0,0.0811727265943127,NA,0.0822798165710008,NA
81,36,1000,81,0,1,0,0.0666962540776586,NA,0.065157283569399,NA
82,36,1000,82,0,0,0,0.0685720872040456,NA,0.0684640006995783,NA
83,36,1000,83,0,1,0,0.0706971987314578,NA,0.0739199586117139,NA
84,36,1000,84,0,1,0,0.0614305558709404,NA,0.0614251297302238,NA
85,36,1000,85,0,1,0,0.0851875092686599,NA,0.0798057608656685,NA
86,36,1000,86,0,0,0,0.0734187604086941,NA,0.0721694040038529,NA
87,36,1000,87,0,0,0,0.0731570309109278,NA,0.0688201926019039,NA
88,36,1000,88,0,1,0,0.0730760172392116,NA,0.0795039391994862,NA
89,36,1000,89,0,1,0,0.0677174356790659,NA,0.0716003512432654,NA
90,36,1000,90,0,1,0,0.0674350789355968,NA,0.0675831969043745,NA
91,36,1000,91,0,1,0,0.0869017595554114,NA,0.0921906197174884,NA
92,36,1000,92,0,1,0,0.0879805835607671,NA,0.0821441655232653,NA
93,36,1000,93,0,1,0,0.0670626038729762,NA,0.0697000429632099,NA
94,36,1000,94,0,0,0,0.0719761116509212,NA,0.0713972520467165,NA
95,36,1000,95,0,1,0,0.0799834478429672,NA,0.0874041086423682,NA
