"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,36,1000,1,0,0,0,0.0667678436015547,NA,0.0677954568501146,NA
2,36,1000,2,0,1,0,0.0608599763300095,NA,0.0620442865252672,NA
3,36,1000,3,0,1,0,0.0685360721878515,NA,0.0676792751789863,NA
4,36,1000,4,0,0,0,0.065329721173208,NA,0.064929482898775,NA
5,36,1000,5,0,1,0,0.0637981298696296,NA,0.0647488959289112,NA
6,36,1000,6,0,1,0,0.0591517049131437,NA,0.0599282792654868,NA
7,36,1000,7,0,1,0,0.0718675467429428,NA,0.073922332840279,NA
8,36,1000,8,0,1,0,0.068533680208973,NA,0.0682860708923742,NA
9,36,1000,9,0,0,0,0.0684850526337591,NA,0.0666494592616751,NA
10,36,1000,10,0,0,0,0.0636040405329553,NA,0.0627987805456591,NA
11,36,1000,11,0,1,0,0.0629870945437403,NA,0.0635059122176407,NA
12,36,1000,12,0,0,0,0.0687771919633712,NA,0.0681239934420816,NA
13,36,1000,13,0,0,0,0.0684856117978641,NA,0.067906089988829,NA
14,36,1000,14,0,1,0,0.0663425999944107,NA,0.063078438335942,NA
15,36,1000,15,0,1,0,0.0699496528325502,NA,0.071151293028227,NA
16,36,1000,16,0,1,0,0.0675496849308806,NA,0.0695949638512801,NA
17,36,1000,17,0,1,0,0.0636952192973209,NA,0.0656869091840873,NA
18,36,1000,18,0,0,0,0.0661901448167409,NA,0.064568110483638,NA
19,36,1000,19,0,1,0,0.0639294760246755,NA,0.06278464281258,NA
20,36,1000,20,0,1,0,0.0646755342355754,NA,0.0649928511264523,NA
21,36,1000,21,0,0,0,0.0692590965912694,NA,0.068056629365395,NA
22,36,1000,22,0,1,0,0.0649931126370882,NA,0.065341915236398,NA
23,36,1000,23,0,0,0,0.0669939525440171,NA,0.0664244687384895,NA
24,36,1000,24,0,1,0,0.0642461653175566,NA,0.0627184250995741,NA
25,36,1000,25,0,1,0,0.0677693840764732,NA,0.0693713248554351,NA
26,36,1000,26,0,0,0,0.068545094070506,NA,0.0681999919713884,NA
27,36,1000,27,0,1,0,0.0638625248501559,NA,0.0645237023053476,NA
28,36,1000,28,0,0,0,0.0675432370062646,NA,0.0676878163623826,NA
29,36,1000,29,0,0,0,0.0685620666310274,NA,0.066546902357086,NA
30,36,1000,30,0,0,0,0.078503119958489,NA,0.0805199843561559,NA
31,36,1000,31,0,0,0,0.0663812984101157,NA,0.0660417938661807,NA
32,36,1000,32,0,1,0,0.0637282578243294,NA,0.0647308444979711,NA
33,36,1000,33,0,1,0,0.0671197103517715,NA,0.0671331029918402,NA
34,36,1000,34,0,1,0,0.0614859221829049,NA,0.0622898711357354,NA
35,36,1000,35,0,0,0,0.0675725206833231,NA,0.0719973889880565,NA
36,36,1000,36,0,1,0,0.0633706986267297,NA,0.0626400880775268,NA
37,36,1000,37,0,1,0,0.0668331151701073,NA,0.0660495891236696,NA
38,36,1000,38,0,0,0,0.0718117313154751,NA,0.0746946863915041,NA
39,36,1000,39,0,1,0,0.0609453425666059,NA,0.060637496472574,NA
40,36,1000,40,0,0,0,0.0675246345997592,NA,0.0670503009027613,NA
41,36,1000,41,0,1,0,0.0648114529590973,NA,0.0639907795757516,NA
42,36,1000,42,0,1,0,0.0611784604172635,NA,0.0626039602526281,NA
43,36,1000,43,0,1,0,0.0642102377792522,NA,0.0649063277920066,NA
44,36,1000,44,0,0,0,0.0675847580226572,NA,0.0661798398277896,NA
45,36,1000,45,0,0,0,0.0658255693624818,NA,0.0639455338872151,NA
46,36,1000,46,0,1,0,0.0699017461513769,NA,0.070441664182955,NA
47,36,1000,47,0,1,0,0.067169396751644,NA,0.0661266817338893,NA
48,36,1000,48,0,0,0,0.0682574363883307,NA,0.0714324064987295,NA
49,36,1000,49,0,1,0,0.0705225602613633,NA,0.0703047053948842,NA
50,36,1000,50,0,1,0,0.0644044302096846,NA,0.0626071785491667,NA
51,36,1000,51,0,1,0,0.066292167223357,NA,0.0651785291804445,NA
52,36,1000,52,0,0,0,0.0671723283474843,NA,0.0655118325410421,NA
53,36,1000,53,0,1,0,0.0636886060529181,NA,0.0656329714500636,NA
54,36,1000,54,0,0,0,0.0675574374322923,NA,0.0708174398139029,NA
55,36,1000,55,0,1,0,0.0630538238163747,NA,0.0631247652150373,NA
56,36,1000,56,0,0,0,0.0674856049878105,NA,0.0662425061339234,NA
57,36,1000,57,0,1,0,0.067847987595354,NA,0.0725787881436497,NA
58,36,1000,58,0,1,0,0.0654561330780773,NA,0.0646219877030198,NA
59,36,1000,59,0,1,0,0.0662732909010381,NA,0.0661903609456595,NA
60,36,1000,60,0,1,0,0.0636836799317669,NA,0.0634200733663281,NA
61,36,1000,61,0,1,0,0.0634202508657321,NA,0.0628449322316277,NA
62,36,1000,62,0,0,0,0.0679088195889879,NA,0.0667025916841022,NA
63,36,1000,63,0,1,0,0.0631030039647695,NA,0.0621771830097781,NA
64,36,1000,64,0,1,0,0.073431462603762,NA,0.0705819748131296,NA
65,36,1000,65,0,1,0,0.0682619694525063,NA,0.0671925218193062,NA
66,36,1000,66,0,0,0,0.0675413208811179,NA,0.0681316262513426,NA
67,36,1000,67,0,1,0,0.0689468521102504,NA,0.0669298681933926,NA
68,36,1000,68,0,0,0,0.067844400740434,NA,0.0679263507782522,NA
69,36,1000,69,0,1,0,0.0616122268818141,NA,0.0624800197789525,NA
70,36,1000,70,0,1,0,0.0680830286488087,NA,0.0671097627359793,NA
71,36,1000,71,0,0,0,0.0670726205666729,NA,0.0666600544769427,NA
72,36,1000,72,0,0,0,0.067803370802343,NA,0.0667177563986824,NA
73,36,1000,73,0,1,0,0.0629691046720404,NA,0.0642645853156504,NA
74,36,1000,74,0,1,0,0.0666657426152987,NA,0.0695572050711008,NA
75,36,1000,75,0,1,0,0.0646321794014313,NA,0.0636629563146359,NA
