"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,36,1000,1,0,1,0,0.102446442614502,NA,0.0974846862103965,NA
2,36,1000,2,0,1,0,0.0872221960849173,NA,0.0783745743711387,NA
3,36,1000,3,0,1,0,0.121551520979198,NA,0.108948788410797,NA
4,36,1000,4,0,1,0,0.124637988264506,NA,0.114709501572422,NA
5,36,1000,5,0,1,0,0.114898700399295,NA,0.105912914808187,NA
6,36,1000,6,0,1,0,0.0912812998224083,NA,0.0913145969200326,NA
7,36,1000,7,0,1,0,0.110425530814792,NA,0.109772855522478,NA
8,36,1000,8,0,1,0,0.124845716457169,NA,0.115624184120729,NA
9,36,1000,9,0,1,0,0.0955113621494894,NA,0.0912064694594757,NA
10,36,1000,10,0,1,0,0.106350892149809,NA,0.105394426895684,NA
11,36,1000,11,0,1,0,0.107296909911787,NA,0.0995703682457816,NA
12,36,1000,12,0,1,0,0.104711625643155,NA,0.0937842737357253,NA
13,36,1000,13,0,1,0,0.0951770706635511,NA,0.0938598688152942,NA
14,36,1000,14,0,1,0,0.103078523826437,NA,0.0898286798224167,NA
15,36,1000,15,0,1,0,0.0948194816619386,NA,0.0842402208589226,NA
16,36,1000,16,0,1,0,0.0943096909272044,NA,0.0953877643816136,NA
17,36,1000,17,0,1,0,0.12601077306661,NA,0.11880613817708,NA
18,36,1000,18,0,1,0,0.127641064267328,NA,0.103765377946346,NA
19,36,1000,19,0,1,0,0.110537294930254,NA,0.095978377390464,NA
20,36,1000,20,0,1,0,0.127353037482102,NA,0.119057173250108,NA
21,36,1000,21,0,1,0,0.095490649899583,NA,0.0843639299384497,NA
22,36,1000,22,0,1,0,0.107674185848231,NA,0.10252597280998,NA
23,36,1000,23,0,1,0,0.0969426543905494,NA,0.0977892381467151,NA
24,36,1000,24,0,1,0,0.107553556573273,NA,0.109193819655739,NA
25,36,1000,25,0,1,0,0.0989573625763787,NA,0.0983388245033509,NA
26,36,1000,26,0,1,0,0.125719533066644,NA,0.116896962829676,NA
