"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,36,2000,1,0,1,0,0.0712608535921091,NA,0.0676479244233215,NA,4.24179361908198
2,36,2000,2,0,1,0,0.0805065976979022,NA,0.0779516308877669,NA,4.325909868209
3,36,2000,3,0,1,0,0.10273980399811,NA,0.0856620823012777,NA,4.34902346365508
4,36,2000,4,0,1,0,0.0863139360198673,NA,0.0584826863793549,NA,4.21425322737459
5,36,2000,5,0,1,0,0.0790409206276932,NA,0.0675167448798552,NA,4.21516924894567
6,36,2000,6,0,1,0,0.0811582195501968,NA,0.0696389891787185,NA,4.26418346174014
7,36,2000,7,0,1,0,0.0794853818728078,NA,0.0750111661952355,NA,4.26067723711437
8,36,2000,8,0,1,0,0.0755620622203431,NA,0.0666293662047315,NA,4.20835772640819
9,36,2000,9,0,1,0,0.0732327069543344,NA,0.0669163921718874,NA,4.27587774127811
10,36,2000,10,0,1,0,0.0890902128528265,NA,0.0734951311435874,NA,4.27351862458744
11,36,2000,11,0,1,0,0.103059349958129,NA,0.0871027334974518,NA,4.44023076581723
12,36,2000,12,0,1,0,0.0764602407411343,NA,0.06484690890793,NA,4.2187340377813
13,36,2000,13,0,1,0,0.087047271438373,NA,0.0759690491403196,NA,4.32752298291101
14,36,2000,14,0,1,0,0.0984252460338557,NA,0.0758909292545852,NA,4.3458461740059
15,36,2000,15,0,1,0,0.0753747065671181,NA,0.0639991990959438,NA,4.28649784697217
16,36,2000,16,0,1,0,0.0712054959334102,NA,0.0729435414684085,NA,4.37151216866022
17,36,2000,17,0,1,0,0.0821366609631202,NA,0.0749736117209422,NA,4.22843481472507
18,36,2000,18,0,1,0,0.0837442257568009,NA,0.0822778257698621,NA,4.26613219568153
19,36,2000,19,0,1,0,0.0708809443076388,NA,0.0689950102988847,NA,4.15178270280446
20,36,2000,20,0,1,0,0.0763623054442229,NA,0.0603924313455589,NA,4.28278075687842
21,36,2000,21,0,1,0,0.0974689637702184,NA,0.0724994521736259,NA,4.25770264786946
22,36,2000,22,0,1,0,0.0789743034982693,NA,0.075382617004562,NA,4.24735465855823
23,36,2000,23,0,1,0,0.0858623733642162,NA,0.0668991173759294,NA,4.31755689129326
24,36,2000,24,0,1,0,0.0940583811787566,NA,0.0701170660118112,NA,4.23561924235025
25,36,2000,25,0,1,0,0.0855452294638057,NA,0.0778217744052267,NA,4.27854634886494
26,36,2000,26,0,1,0,0.0833826492901881,NA,0.0706591658848368,NA,4.2753856774918
27,36,2000,27,0,1,0,0.0847335492956476,NA,0.0704068113309186,NA,4.24506034751794
28,36,2000,28,0,1,0,0.0829231534703216,NA,0.0769169871971573,NA,4.33679927321101
29,36,2000,29,0,1,0,0.0730551477790057,NA,0.0712851526023557,NA,4.31963259149416
30,36,2000,30,0,1,0,0.0842723516629942,NA,0.081160353254704,NA,4.25468697961273
31,36,2000,31,0,1,0,0.0932364940792604,NA,0.0770609153082873,NA,4.26773869048155
32,36,2000,32,0,1,0,0.0901418956573465,NA,0.0786663695060951,NA,4.25111148929659
33,36,2000,33,0,1,0,0.0701869793008676,NA,0.065313480102734,NA,4.29845143723571
34,36,2000,34,0,1,0,0.0762618227696799,NA,0.0716122528554883,NA,4.29143802460317
35,36,2000,35,0,1,0,0.0923609399620079,NA,0.0669880899269477,NA,4.27874074050299
36,36,2000,36,0,1,0,0.0869185132912441,NA,0.0844828186321075,NA,4.31167020594147
37,36,2000,37,0,1,0,0.0783074336933202,NA,0.0784879757020505,NA,4.40227713169019
38,36,2000,38,0,1,0,0.0720087436584492,NA,0.0685742592409715,NA,4.21185411742154
39,36,2000,39,0,1,0,0.0778457552811817,NA,0.0630986430759683,NA,4.22279915154729
40,36,2000,40,0,1,0,0.0855040948027461,NA,0.071524251699517,NA,4.20237126882683
41,36,2000,41,0,1,0,0.0690749113192727,NA,0.0629028433982181,NA,4.28435303232978
42,36,2000,42,0,1,0,0.087818988028319,NA,0.070181824422784,NA,4.36585450960149
43,36,2000,43,0,1,0,0.0817121297993774,NA,0.0739767207327017,NA,4.25947606091773
44,36,2000,44,0,1,0,0.0818899704300131,NA,0.0690145663634939,NA,4.30768346747531
45,36,2000,45,0,1,0,0.0762126169823964,NA,0.0687327410710053,NA,4.30437897948546
46,36,2000,46,0,1,0,0.0977195567558917,NA,0.0858766061533842,NA,4.27474134014922
47,36,2000,47,0,1,0,0.0807055607463015,NA,0.0695337495829437,NA,4.30782694498787
48,36,2000,48,0,1,0,0.0772292265480439,NA,0.0785515878748454,NA,4.29321914546177
49,36,2000,49,0,1,0,0.0999538828843986,NA,0.0728550736888015,NA,4.27719369055828
50,36,2000,50,0,1,0,0.0764533903407578,NA,0.0719535963012508,NA,4.26583699173829
51,36,2000,51,0,1,0,0.0792508381117573,NA,0.0700485078207771,NA,4.31353105933812
52,36,2000,52,0,1,0,0.0845646055441134,NA,0.0812345343524946,NA,4.34156920910635
53,36,2000,53,0,1,0,0.0749441039150376,NA,0.0679984783047254,NA,4.22553388630938
54,36,2000,54,0,1,0,0.0800229143762875,NA,0.0808652713914525,NA,4.28242461973411
55,36,2000,55,0,1,0,0.0755854093948475,NA,0.062020930044132,NA,4.32046380116323
56,36,2000,56,0,1,0,0.0786429535653269,NA,0.0745962531304871,NA,4.32321757176457
57,36,2000,57,0,1,0,0.0851328424223868,NA,0.0747766980294322,NA,4.36251786984157
58,36,2000,58,0,1,0,0.0710625603964398,NA,0.0614016321572016,NA,4.28776807488992
59,36,2000,59,0,1,0,0.0818971474353055,NA,0.0788990750344536,NA,4.41974286958301
60,36,2000,60,0,1,0,0.0913728498217049,NA,0.0683599230540687,NA,4.36236117898883
61,36,2000,61,0,1,0,0.102395013337966,NA,0.0991529659839801,NA,4.35880099598088
62,36,2000,62,0,1,0,0.0960564693663145,NA,0.0739914108188009,NA,4.30615317057961
63,36,2000,63,0,1,0,0.0787823083364034,NA,0.0653436228941642,NA,4.21618729544389
64,36,2000,64,0,1,0,0.109431962967854,NA,0.0971688979044159,NA,4.39419658827275
65,36,2000,65,0,1,0,0.0815484029878608,NA,0.067601781419782,NA,4.3384148282437
66,36,2000,66,0,1,0,0.0806690589556554,NA,0.0699609017592866,NA,4.36328156078151
67,36,2000,67,0,1,0,0.0776273343610599,NA,0.0665655996568412,NA,4.43259509372879
68,36,2000,68,0,1,0,0.0928031515408465,NA,0.0743523583452239,NA,4.35870754248444
69,36,2000,69,0,1,0,0.0861898009741393,NA,0.0734295024800499,NA,4.2428815214313
70,36,2000,70,0,1,0,0.0812856555934179,NA,0.079126688841733,NA,4.34900295149063
71,36,2000,71,0,1,0,0.0758491741633199,NA,0.06814726315767,NA,4.33799403434081
