"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,18,10000,1,0,0,0,0.485155527239147,NA,0.0983756709409355,NA
2,18,10000,2,0,0,0,0.484174752234242,NA,0.0973066355178445,NA
3,18,10000,3,0,0,0,0.486588478571438,NA,0.105120303686902,NA
4,18,10000,4,0,0,0,0.486646532814293,NA,0.105371478166151,NA
5,18,10000,5,0,0,0,0.48635961784866,NA,0.103786274991261,NA
6,18,10000,6,0,0,0,0.485316708979499,NA,0.0998287543386327,NA
7,18,10000,7,0,0,0,0.486358192971649,NA,0.104904995540722,NA
8,18,10000,8,0,0,0,0.486584900737249,NA,0.104813569169411,NA
9,18,10000,9,0,0,0,0.485005708821361,NA,0.100843782915384,NA
10,18,10000,10,0,0,0,0.487751041864826,NA,0.107697549410993,NA
11,18,10000,11,0,0,0,0.485016124093701,NA,0.0986983835811813,NA
12,18,10000,12,0,0,0,0.486565250964233,NA,0.104444919190789,NA
13,18,10000,13,0,0,0,0.485074732952513,NA,0.0994307920930794,NA
14,18,10000,14,0,0,0,0.486880626294173,NA,0.104545578735498,NA
15,18,10000,15,0,0,0,0.487186143153518,NA,0.107700913926635,NA
16,18,10000,16,0,0,0,0.48574106617085,NA,0.10445901263169,NA
17,18,10000,17,0,0,0,0.485615765333575,NA,0.103773202100291,NA
18,18,10000,18,0,0,0,0.487405947360532,NA,0.106748807678859,NA
19,18,10000,19,0,0,0,0.484974348038738,NA,0.0977023366729234,NA
20,18,10000,20,0,0,0,0.484736131310964,NA,0.0982912048090281,NA
21,18,10000,21,0,0,0,0.485846889007793,NA,0.102938016549175,NA
22,18,10000,22,0,0,0,0.485881046201524,NA,0.10087764978728,NA
23,18,10000,23,0,0,0,0.485384916692008,NA,0.0993671153106177,NA
24,18,10000,24,0,0,0,0.486413260922007,NA,0.105285591142551,NA
25,18,10000,25,0,0,0,0.486252194235657,NA,0.103900622961213,NA
26,18,10000,26,0,0,0,0.485230772263674,NA,0.100163030295811,NA
27,18,10000,27,0,0,0,0.485408996383068,NA,0.0975909771764375,NA
