"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,18,10000,1,0,0,0,0.484389104436757,NA,0.0993263645717984,NA
2,18,10000,2,0,0,0,0.482707512933269,NA,0.092849978250307,NA
3,18,10000,3,0,1,0,0.483618789391266,NA,0.0960626098368532,NA
4,18,10000,4,0,0,0,0.484306453234479,NA,0.0962568957111533,NA
5,18,10000,5,0,0,0,0.484206595051748,NA,0.0991681341121287,NA
6,18,10000,6,0,0,0,0.484884487484434,NA,0.100517502146954,NA
7,18,10000,7,0,0,0,0.485586300681532,NA,0.103556328004287,NA
8,18,10000,8,0,0,0,0.4858006099607,NA,0.104088274041765,NA
9,18,10000,9,0,0,0,0.483980817967188,NA,0.0981861631434681,NA
10,18,10000,10,0,0,0,0.485247210961529,NA,0.101343434315988,NA
11,18,10000,11,0,0,0,0.48391367646584,NA,0.0970491118647779,NA
12,18,10000,12,0,0,0,0.484181778697748,NA,0.0964776015146976,NA
13,18,10000,13,0,0,0,0.484436804133333,NA,0.0978073008385545,NA
14,18,10000,14,0,1,0,0.486064695998374,NA,0.103241007538248,NA
15,18,10000,15,0,0,0,0.484883809097797,NA,0.0982588451750298,NA
16,18,10000,16,0,0,0,0.483460534939158,NA,0.0942363104235062,NA
17,18,10000,17,0,0,0,0.483704947993735,NA,0.0953745595849068,NA
18,18,10000,18,0,0,0,0.484055192209919,NA,0.100381683961342,NA
19,18,10000,19,0,0,0,0.483334702687121,NA,0.0961042311310222,NA
20,18,10000,20,0,1,0,0.483422183547559,NA,0.0945372691633119,NA
21,18,10000,21,0,0,0,0.483821651915122,NA,0.0955033442379579,NA
22,18,10000,22,0,1,0,0.484050754391317,NA,0.0971756638281497,NA
23,18,10000,23,0,0,0,0.485033047657425,NA,0.101550850204924,NA
24,18,10000,24,0,0,0,0.483761029847503,NA,0.0969939617217402,NA
25,18,10000,25,0,0,0,0.485086959893829,NA,0.101288384282032,NA
26,18,10000,26,0,0,0,0.484210348654718,NA,0.0970331300126539,NA
27,18,10000,27,0,1,0,0.484581635600479,NA,0.0985113955478325,NA
28,18,10000,28,0,0,0,0.484985366860934,NA,0.102887381364109,NA
29,18,10000,29,0,1,0,0.483711960096216,NA,0.0953580833420342,NA
30,18,10000,30,0,0,0,0.484015600514475,NA,0.0974655732868485,NA
31,18,10000,31,0,0,0,0.483591294692122,NA,0.093777088174004,NA
32,18,10000,32,0,1,0,0.483747206769096,NA,0.0957294415265179,NA
33,18,10000,33,0,0,0,0.483387309314233,NA,0.0940206360687189,NA
34,18,10000,34,0,0,0,0.483782364807184,NA,0.0955520575113066,NA
35,18,10000,35,0,0,0,0.483527282761332,NA,0.0958627336440752,NA
36,18,10000,36,0,0,0,0.482802467394724,NA,0.0922449470386353,NA
37,18,10000,37,0,0,0,0.484607016681465,NA,0.101771109981215,NA
38,18,10000,38,0,0,0,0.485074706935896,NA,0.101856409676071,NA
39,18,10000,39,0,1,0,0.483221319648535,NA,0.0966963217799802,NA
40,18,10000,40,0,0,0,0.484679327612762,NA,0.100514134099282,NA
