"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,15000,1,0,1,1,0.49380556503775,NA,0.0822290978121507,NA,9.83993482955445
2,24,15000,2,0,1,1,0.493409964954171,NA,0.0802484615211999,NA,9.83199710774252
3,24,15000,3,0,1,1,0.493553360516931,NA,0.0809386426137796,NA,9.82728494568918
4,24,15000,4,0,1,1,0.494013547770519,NA,0.0826268163353866,NA,9.82206667889575
5,24,15000,5,0,1,1,0.494148877241398,NA,0.0833312175321174,NA,9.82566587168973
6,24,15000,6,0,1,1,0.493539261574207,NA,0.0799570590575985,NA,9.81466260389292
7,24,15000,7,0,1,1,0.493826906009927,NA,0.0817887469291079,NA,9.84374846079363
8,24,15000,8,0,1,1,0.492854388584705,NA,0.0781390094450861,NA,9.80455713434622
9,24,15000,9,0,1,1,0.493202220816141,NA,0.0799141972267463,NA,9.83273710124771
10,24,15000,10,0,1,1,0.49305029662986,NA,0.0785223484944743,NA,9.82449850064841
11,24,15000,11,0,1,1,0.493590144900959,NA,0.080507805036323,NA,9.80582706717465
12,24,15000,12,0,1,1,0.493769508897098,NA,0.0818901508858437,NA,9.80781285709017
13,24,15000,13,0,1,1,0.493238272465783,NA,0.0792142446275928,NA,9.82798861216551
14,24,15000,14,0,1,1,0.494422958138462,NA,0.0836733983046376,NA,9.82061151133672
15,24,15000,15,0,1,1,0.492881477245258,NA,0.0790771357397177,NA,9.80457563886343
16,24,15000,16,0,1,1,0.493624025769085,NA,0.0806633991505266,NA,9.79041291004362
17,24,15000,17,0,1,1,0.493809976394278,NA,0.0813688093506143,NA,9.81764023077799
18,24,15000,18,0,1,1,0.493015746020095,NA,0.0784418241170512,NA,9.81491735762805
19,24,15000,19,0,1,1,0.493612903732635,NA,0.0822483748594581,NA,9.82570216622816
20,24,15000,20,0,1,1,0.493997534135834,NA,0.0818004698753926,NA,9.8252058785613
21,24,15000,21,0,1,1,0.494780747015429,NA,0.0847546211987598,NA,9.83190015155848
22,24,15000,22,0,1,1,0.493331859008571,NA,0.0804289022341997,NA,9.81970614790837
23,24,15000,23,0,1,1,0.493239096626828,NA,0.0803692080847659,NA,9.83139941647938
24,24,15000,24,0,1,1,0.494100706131969,NA,0.0824722277445184,NA,9.82881049610139
25,24,15000,25,0,1,1,0.493380875830642,NA,0.0801771255614363,NA,9.82588074982629
26,24,15000,26,0,1,1,0.49390346039465,NA,0.081197350080432,NA,9.81324010754537
27,24,15000,27,0,1,1,0.493923679911324,NA,0.0822323843802715,NA,9.82354496698138
28,24,15000,28,0,1,1,0.494538720884312,NA,0.0836782058741609,NA,9.81975351788028
29,24,15000,29,0,1,1,0.494705321985232,NA,0.0855234767865508,NA,9.83437245136671
30,24,15000,30,0,1,1,0.493382183418349,NA,0.0791048521383462,NA,9.81390195770128
31,24,15000,31,0,1,1,0.493131978069241,NA,0.0790308811223507,NA,9.79677812749035
32,24,15000,32,0,1,1,0.492927014834607,NA,0.0787927153828097,NA,9.81204174287295
33,24,15000,33,0,1,1,0.49360342581768,NA,0.0816017706402855,NA,9.81113068851183
34,24,15000,34,0,1,1,0.493866717764189,NA,0.0823814325369274,NA,9.81314393886492
35,24,15000,35,0,1,1,0.493811361808931,NA,0.0827701578184302,NA,9.80182374404734
36,24,15000,36,0,1,1,0.493971158040016,NA,0.0822270888110155,NA,9.80753159468772
37,24,15000,37,0,1,1,0.492846047270149,NA,0.0780655087933733,NA,9.82509551859743
38,24,15000,38,0,1,1,0.494559222453295,NA,0.0849501411234726,NA,9.84725152459677
39,24,15000,39,0,1,1,0.493728550054421,NA,0.081742740091356,NA,9.8219355567511
40,24,15000,40,0,1,1,0.494154463883513,NA,0.0831434469011781,NA,9.82865967602451
41,24,15000,41,0,1,1,0.493031480606169,NA,0.0787757439700214,NA,9.81182393739681
42,24,15000,42,0,1,1,0.494710264658218,NA,0.084442944517878,NA,9.80169581544903
43,24,15000,43,0,1,1,0.493901145861501,NA,0.0832292093192175,NA,9.80393000069651
44,24,15000,44,0,1,1,0.493268156749827,NA,0.0795864461230968,NA,9.80831324830489
45,24,15000,45,0,1,1,0.493264479712398,NA,0.0798991776000941,NA,9.80419468494701
46,24,15000,46,0,1,1,0.493797130125761,NA,0.0814151771247068,NA,9.80017725322913
47,24,15000,47,0,1,1,0.493718989672169,NA,0.0821048965307707,NA,9.81076802746666
48,24,15000,48,0,1,1,0.493235488650963,NA,0.0793367701726915,NA,9.80101686310023
49,24,15000,49,0,1,1,0.494107686612855,NA,0.0827559455816847,NA,9.81453783138205
50,24,15000,50,0,1,1,0.494589969041176,NA,0.0838454886936877,NA,9.79970482677273
51,24,15000,51,0,1,1,0.493065421160699,NA,0.078786130121699,NA,9.82636994908882
52,24,15000,52,0,1,1,0.494051378431677,NA,0.0821063271270583,NA,9.83762418231239
53,24,15000,53,0,1,1,0.494629312547664,NA,0.0854005925566716,NA,9.82162216786542
54,24,15000,54,0,1,1,0.495142027862148,NA,0.0871151234653738,NA,9.83597540686651
55,24,15000,55,0,1,1,0.492821177064889,NA,0.0774278823598995,NA,9.82310163647604
56,24,15000,56,0,1,1,0.492980234648297,NA,0.0787757715507526,NA,9.80000437010021
57,24,15000,57,0,1,1,0.493282515675976,NA,0.0800773003574356,NA,9.81867838937519
58,24,15000,58,0,1,1,0.493739302033276,NA,0.0808032865211645,NA,9.83590033102977
59,24,15000,59,0,1,1,0.49330208228673,NA,0.0787992542242706,NA,9.82639921465469
60,24,15000,60,0,1,1,0.493601834845424,NA,0.0803895489145917,NA,9.79911936197986
61,24,15000,61,0,1,1,0.493263740332774,NA,0.0797769848083801,NA,9.81724183475957
62,24,15000,62,0,1,1,0.494497979220635,NA,0.0838440674830401,NA,9.81903220477286
63,24,15000,63,0,1,1,0.4938361352573,NA,0.081844905144944,NA,9.80940639692129
64,24,15000,64,0,1,1,0.493743392015034,NA,0.0827320711251258,NA,9.79354168297095
65,24,15000,65,0,1,1,0.49357315568349,NA,0.080879025981618,NA,9.83095937193759
66,24,15000,66,0,1,1,0.493122187541002,NA,0.0795486989646273,NA,9.80784507321797
67,24,15000,67,0,1,1,0.494027480661093,NA,0.0830942132005366,NA,9.83469287594448
68,24,15000,68,0,1,1,0.494049115492007,NA,0.0823608244595397,NA,9.8427288412631
69,24,15000,69,0,1,1,0.493593472172924,NA,0.0808500950357682,NA,9.79581203905233
70,24,15000,70,0,1,1,0.493599377778428,NA,0.0812315290141508,NA,9.84153212671045
71,24,15000,71,0,1,1,0.493725229520309,NA,0.0816220868709115,NA,9.80598822025601
72,24,15000,72,0,1,1,0.493471773343753,NA,0.0806677042872132,NA,9.81517888602914
73,24,15000,73,0,1,1,0.49545832827627,NA,0.0880981692773916,NA,9.81171826586558
