"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,25,75000,1,0,1,1,0.0560750230832267,NA,0.055901788508392,NA,0.367978288503561
2,25,75000,2,0,1,1,0.0533446952371456,NA,0.0530682484726761,NA,0.363043604947602
3,25,75000,3,0,1,1,0.0553300615313093,NA,0.0551021443273827,NA,0.362314290342251
4,25,75000,4,0,1,1,0.0570847769426015,NA,0.0568080287940801,NA,0.362614030641207
5,25,75000,5,0,1,1,0.0541483734370131,NA,0.0538493161089141,NA,0.365511054931332
6,25,75000,6,0,1,1,0.0552878846125025,NA,0.0550752273909937,NA,0.362374850766476
7,25,75000,7,0,1,1,0.054930326620902,NA,0.0546912638483765,NA,0.361889723946782
8,25,75000,8,0,1,1,0.0564255646842837,NA,0.0562605985922431,NA,0.365991433498135
9,25,75000,9,0,1,1,0.0554038902133915,NA,0.0551184085472128,NA,0.364778622188573
10,25,75000,10,0,1,0,0.057477651883,NA,0.0571753203575393,NA,0.363041285092041
11,25,75000,11,0,1,1,0.0557320168257567,NA,0.0555504750577171,NA,0.364465168444274
12,25,75000,12,0,1,1,0.0549945810536085,NA,0.054716034811768,NA,0.367570238628064
13,25,75000,13,0,1,1,0.0546539028635962,NA,0.0544610120494265,NA,0.37010112028708
14,25,75000,14,0,1,1,0.055869461260954,NA,0.0556742833157256,NA,0.367235486524608
15,25,75000,15,0,1,1,0.0550886563038209,NA,0.0548531285720047,NA,0.363411172732273
16,25,75000,16,0,1,1,0.0548927279047935,NA,0.0546318814293669,NA,0.361906029969806
17,25,75000,17,0,1,1,0.0561716781464476,NA,0.0559301856109249,NA,0.363450311595188
18,25,75000,18,0,1,1,0.0555493005515081,NA,0.055286701855785,NA,0.365363466730489
19,25,75000,19,0,1,1,0.054483953949473,NA,0.0541600086997583,NA,0.361764706583618
20,25,75000,20,0,1,1,0.0549445554357884,NA,0.0547549532300953,NA,0.364187879276304
21,25,75000,21,0,1,1,0.0540974973281982,NA,0.0537549769632394,NA,0.364406582882324
22,25,75000,22,0,1,1,0.0546562732127499,NA,0.0545260449389636,NA,0.368286083809151
23,25,75000,23,0,1,1,0.0542785192873112,NA,0.0539746014519461,NA,0.367765406171833
24,25,75000,24,0,1,1,0.0553313986935703,NA,0.0551180375104081,NA,0.365629491487062
25,25,75000,25,0,1,1,0.0547020879235565,NA,0.0544828158957605,NA,0.365317032082726
26,25,75000,26,0,1,1,0.0549583045937809,NA,0.0546947459796857,NA,0.362978506076311
27,25,75000,27,0,1,1,0.0551230989146658,NA,0.0549635415964368,NA,0.37083651735687
28,25,75000,28,0,1,1,0.0542149600274363,NA,0.0540221750478799,NA,0.366146522493594
29,25,75000,29,0,1,1,0.0537920949309912,NA,0.053566937756123,NA,0.369881367871849
30,25,75000,30,0,1,1,0.0547006527134445,NA,0.0545746781934991,NA,0.368685231084462
31,25,75000,31,0,1,1,0.0550303682087725,NA,0.0548979017018723,NA,0.374180164072947
32,25,75000,32,0,1,1,0.0560542773700892,NA,0.0557731176976015,NA,0.36578279513734
33,25,75000,33,0,1,1,0.0541906511320698,NA,0.0539251918719268,NA,0.36818592047007
34,25,75000,34,0,1,1,0.0549444514068027,NA,0.0547296650211839,NA,0.360924906199139
35,25,75000,35,0,1,1,0.0550944375613891,NA,0.0549478293233662,NA,0.369088585818493
36,25,75000,36,0,1,1,0.05477672507975,NA,0.0545236243604299,NA,0.361501342679293
37,25,75000,37,0,1,1,0.0558237698366515,NA,0.0556057313305272,NA,0.362246637566539
38,25,75000,38,0,1,1,0.0551026555981225,NA,0.0548805891492994,NA,0.362215292545691
39,25,75000,39,0,1,1,0.0552252701715556,NA,0.0550033254614167,NA,0.367723030952297
40,25,75000,40,0,1,1,0.0565903433367101,NA,0.0564172581402086,NA,0.366622237355562
41,25,75000,41,0,1,1,0.0553503430028692,NA,0.0551409390839991,NA,0.366445831436018
42,25,75000,42,0,1,1,0.0553809632413963,NA,0.0552074296307846,NA,0.365416810841617
43,25,75000,43,0,1,1,0.0554694150685096,NA,0.0551095536697762,NA,0.364386227587717
44,25,75000,44,0,1,1,0.0555991010546636,NA,0.0553774169688498,NA,0.3640936241065
45,25,75000,45,0,1,1,0.054769020357997,NA,0.0545895330878213,NA,0.374042788855666
46,25,75000,46,0,1,0,0.057146024936477,NA,0.0569652957860916,NA,0.364448496751774
47,25,75000,47,0,1,1,0.0554543042478317,NA,0.055274257131939,NA,0.367039047947797
48,25,75000,48,0,1,1,0.0548870490753996,NA,0.0546174564274058,NA,0.363045094507099
49,25,75000,49,0,1,1,0.0550900507952313,NA,0.054821889861538,NA,0.361026172890024
50,25,75000,50,0,1,1,0.0553509037411455,NA,0.0551210720148304,NA,0.365695458695065
51,25,75000,51,0,1,1,0.0569092049503776,NA,0.0566847186609487,NA,0.36464934407046
52,25,75000,52,0,1,1,0.054637875971243,NA,0.0544090850433523,NA,0.366422281643783
53,25,75000,53,0,1,1,0.0554164560929079,NA,0.0551803238026845,NA,0.363908945612032
54,25,75000,54,0,1,1,0.0547592971221002,NA,0.0544681206232299,NA,0.365457685030208
55,25,75000,55,0,1,1,0.0549529020563053,NA,0.0548676847380634,NA,0.366165092389483
56,25,75000,56,0,1,1,0.0544484978475339,NA,0.0542754944004766,NA,0.366188876563452
57,25,75000,57,0,1,1,0.0552348950583816,NA,0.0550321119118369,NA,0.363480632144005
58,25,75000,58,0,1,1,0.0549738897633903,NA,0.0547558885779961,NA,0.366409464312094
59,25,75000,59,0,1,1,0.0552357089683737,NA,0.0550415940454791,NA,0.368716283430598
60,25,75000,60,0,1,1,0.0547415401673456,NA,0.0545157556696876,NA,0.368699653674054
61,25,75000,61,0,1,1,0.054348581852883,NA,0.0540187504180211,NA,0.367992177715017
62,25,75000,62,0,1,1,0.0560500829932863,NA,0.0558959061532251,NA,0.368324161336479
63,25,75000,63,0,1,1,0.0539230610930151,NA,0.0536708116891398,NA,0.364219711566611
64,25,75000,64,0,1,1,0.0554895061429042,NA,0.0552974812270562,NA,0.370463842018095
65,25,75000,65,0,1,1,0.0544573348044485,NA,0.0541795701550816,NA,0.368768321301236
66,25,75000,66,0,1,1,0.054726560875572,NA,0.0544311487249055,NA,0.364159937453883
67,25,75000,67,0,1,1,0.0542681584928813,NA,0.0540316838928442,NA,0.364201529730454
68,25,75000,68,0,1,1,0.0546101019564224,NA,0.0544340480773547,NA,0.368896598750116
69,25,75000,69,0,1,1,0.0549436300870591,NA,0.0547529847642418,NA,0.368269216575516
70,25,75000,70,0,1,1,0.0558014347418065,NA,0.0555755784463544,NA,0.357215336964698
71,25,75000,71,0,1,1,0.0556474473945571,NA,0.055422402651075,NA,0.36510549677294
72,25,75000,72,0,1,1,0.0538527849282709,NA,0.0535359036357034,NA,0.36689526562638
73,25,75000,73,0,1,1,0.0551009304721155,NA,0.0548040712627296,NA,0.362770912976585
74,25,75000,74,0,1,1,0.0550997784522112,NA,0.0548174558816626,NA,0.36395560607614
75,25,75000,75,0,1,1,0.0547079429765303,NA,0.0544385667054408,NA,0.369948700029916
76,25,75000,76,0,1,1,0.0562446723361903,NA,0.0559886834875053,NA,0.365155645556666
77,25,75000,77,0,1,1,0.0542999014342197,NA,0.0539595804667355,NA,0.361580471228165
78,25,75000,78,0,1,1,0.0550612046987958,NA,0.0548448831290047,NA,0.363283727643202
79,25,75000,79,0,1,1,0.0548904866806779,NA,0.0546838311037076,NA,0.36773687267784
80,25,75000,80,0,1,1,0.0548727125080337,NA,0.0546610266636006,NA,0.367223683659585
81,25,75000,81,0,1,1,0.0558546214429386,NA,0.0556488107105821,NA,0.363389911000821
82,25,75000,82,0,1,1,0.0559227125671431,NA,0.0557358905816595,NA,0.367186066668217
83,25,75000,83,0,1,1,0.0562132540575791,NA,0.0560983149044747,NA,0.368463675341634
84,25,75000,84,0,1,1,0.0540777433812325,NA,0.0538967049479875,NA,0.371680152975384
85,25,75000,85,0,1,1,0.0554569024775731,NA,0.0551830353517413,NA,0.360594282367034
86,25,75000,86,0,1,1,0.056095630724344,NA,0.0558910553109183,NA,0.362891301963914
87,25,75000,87,0,1,1,0.0555681607181599,NA,0.0553396181158399,NA,0.36272121235307
88,25,75000,88,0,1,1,0.053997936428009,NA,0.0537566546011948,NA,0.364720480367253
89,25,75000,89,0,1,1,0.0542139188429726,NA,0.0540385718568729,NA,0.370643702648677
90,25,75000,90,0,1,1,0.0541523521400996,NA,0.0539409232072233,NA,0.370654607957852
91,25,75000,91,0,1,1,0.0535527554485588,NA,0.0532750738715179,NA,0.371061379853437
92,25,75000,92,0,1,1,0.0538177461978706,NA,0.053631370903662,NA,0.368750655044359
