"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
1,36,1000,1,0,0,0,0.0650729312879626,NA,0.0664763703015621,NA
2,36,1000,2,0,0,0,0.0631224125298086,NA,0.0637554776491934,NA
3,36,1000,3,0,0,0,0.069110491520863,NA,0.0682178651514195,NA
4,36,1000,4,0,0,0,0.0644826802834925,NA,0.0641422670583861,NA
5,36,1000,5,0,0,0,0.0651029805494265,NA,0.0653693499902122,NA
6,36,1000,6,0,1,0,0.0611195089474537,NA,0.0617722534887432,NA
7,36,1000,7,0,1,0,0.0716553375994691,NA,0.0739191617890663,NA
8,36,1000,8,0,0,0,0.0685130649414595,NA,0.0686158466576774,NA
9,36,1000,9,0,0,0,0.0667052353140155,NA,0.0642381188595697,NA
10,36,1000,10,0,0,0,0.0635876717098287,NA,0.0631304552372939,NA
11,36,1000,11,0,0,0,0.0642045717166672,NA,0.0645943886334314,NA
12,36,1000,12,0,0,0,0.0677592103720377,NA,0.0670992990490098,NA
13,36,1000,13,0,0,0,0.0667559234461532,NA,0.066167354161757,NA
14,36,1000,14,0,0,0,0.066174331624734,NA,0.0640460933906101,NA
15,36,1000,15,0,0,0,0.0695531414775428,NA,0.0713501895712032,NA
16,36,1000,16,0,0,0,0.0677160201812842,NA,0.0699067652731193,NA
17,36,1000,17,0,0,0,0.0649703305958254,NA,0.0663638311365417,NA
18,36,1000,18,0,0,0,0.0651564108529582,NA,0.0645831869635583,NA
19,36,1000,19,0,0,0,0.0650217415619358,NA,0.0642650786683752,NA
20,36,1000,20,0,0,0,0.0652134752398741,NA,0.0660451800389575,NA
21,36,1000,21,0,0,0,0.0665738268434719,NA,0.0662748202129331,NA
22,36,1000,22,0,1,0,0.0657535897513265,NA,0.0659748357596675,NA
23,36,1000,23,0,0,0,0.0629466542286641,NA,0.063505919939874,NA
24,36,1000,24,0,0,0,0.0656750191850388,NA,0.0644622138497417,NA
25,36,1000,25,0,0,0,0.0678970683618317,NA,0.069223221817164,NA
26,36,1000,26,0,0,0,0.0670597861985263,NA,0.0653752492342667,NA
27,36,1000,27,0,0,0,0.0650077463505095,NA,0.0656447499381651,NA
28,36,1000,28,0,0,0,0.0631132466935309,NA,0.063012214864364,NA
29,36,1000,29,0,0,0,0.0665621235528762,NA,0.0652070260954564,NA
30,36,1000,30,0,0,0,0.0792699106729978,NA,0.0805192336112832,NA
31,36,1000,31,0,0,0,0.0657839717446443,NA,0.0647769088769062,NA
32,36,1000,32,0,0,0,0.0640181406208641,NA,0.0646951077991302,NA
33,36,1000,33,0,0,0,0.067759888334547,NA,0.067683343046085,NA
34,36,1000,34,0,1,0,0.0632411851556417,NA,0.0636945067219394,NA
35,36,1000,35,0,0,0,0.0656813650618944,NA,0.068824808298164,NA
36,36,1000,36,0,0,0,0.0646818779664386,NA,0.064093728738455,NA
37,36,1000,37,0,0,0,0.0670241787604297,NA,0.0665424116688772,NA
38,36,1000,38,0,0,0,0.0712055190043388,NA,0.0746071391563483,NA
39,36,1000,39,0,0,0,0.0635302976123015,NA,0.0629301475963771,NA
40,36,1000,40,0,0,0,0.0666994227025341,NA,0.0665505868382036,NA
41,36,1000,41,0,1,0,0.0656400680734759,NA,0.0650887963236424,NA
42,36,1000,42,0,0,0,0.063425808900266,NA,0.0643631130488239,NA
43,36,1000,43,0,0,0,0.0650910785432429,NA,0.0659428177277102,NA
44,36,1000,44,0,0,0,0.0663582461763749,NA,0.0653564245889453,NA
45,36,1000,45,0,0,0,0.0634257147930598,NA,0.0630516537484483,NA
46,36,1000,46,0,0,0,0.0698077498643196,NA,0.0706882928397616,NA
47,36,1000,47,0,0,0,0.0670642138407024,NA,0.0664559285064289,NA
48,36,1000,48,0,0,0,0.0668160324484574,NA,0.0710834562297851,NA
49,36,1000,49,0,0,0,0.0706662400822962,NA,0.0703595222997207,NA
50,36,1000,50,0,0,0,0.0650961338539123,NA,0.0641327396118617,NA
51,36,1000,51,0,0,0,0.0665463922652851,NA,0.065356483804118,NA
52,36,1000,52,0,0,0,0.0660122402084075,NA,0.0648473481583623,NA
53,36,1000,53,0,1,0,0.0651576661936948,NA,0.066476227072273,NA
54,36,1000,54,0,0,0,0.0673578595751064,NA,0.0706585080038021,NA
55,36,1000,55,0,0,0,0.063012910825,NA,0.0634997451399676,NA
56,36,1000,56,0,0,0,0.0646477923856271,NA,0.0643113439873604,NA
57,36,1000,57,0,1,0,0.0683472772692563,NA,0.0726479404221651,NA
58,36,1000,58,0,0,0,0.0663689717501575,NA,0.06556431107812,NA
59,36,1000,59,0,0,0,0.0666255613525372,NA,0.0666537581097283,NA
60,36,1000,60,0,0,0,0.0647092729819915,NA,0.0640208831276785,NA
61,36,1000,61,0,0,0,0.0647490513674219,NA,0.0640751210816821,NA
62,36,1000,62,0,0,0,0.0663581899966112,NA,0.0655323044770487,NA
63,36,1000,63,0,0,0,0.0647420026691994,NA,0.063717140515536,NA
64,36,1000,64,0,1,0,0.0731780145332623,NA,0.0707908245622454,NA
65,36,1000,65,0,0,0,0.0689707325489844,NA,0.0677343069996565,NA
66,36,1000,66,0,0,0,0.0649248796116616,NA,0.0664628669013745,NA
67,36,1000,67,0,0,0,0.0692713204180426,NA,0.0673275828562485,NA
68,36,1000,68,0,0,0,0.0645495052331296,NA,0.0647711362596135,NA
69,36,1000,69,0,0,0,0.0636931256120631,NA,0.0643682060101977,NA
70,36,1000,70,0,0,0,0.0685259909547855,NA,0.0674642219966967,NA
71,36,1000,71,0,0,0,0.0643693740827161,NA,0.0637477397573766,NA
72,36,1000,72,0,0,0,0.0662591273660897,NA,0.0657161102834263,NA
73,36,1000,73,0,1,0,0.0641562733340002,NA,0.0651681744269484,NA
74,36,1000,74,0,1,0,0.0669854872748288,NA,0.0697093694400924,NA
75,36,1000,75,0,1,0,0.065336995572732,NA,0.0648813098064478,NA
76,36,1000,76,0,0,0,0.0635951162333866,NA,0.0642315019671133,NA
77,36,1000,77,0,0,0,0.0793305722372381,NA,0.0894437235653829,NA
78,36,1000,78,0,0,0,0.0667485270536432,NA,0.0688965627343673,NA
79,36,1000,79,0,0,0,0.0644506265210952,NA,0.064550012236793,NA
80,36,1000,80,0,0,0,0.0680975051520598,NA,0.0688779622193103,NA
81,36,1000,81,0,1,0,0.0636342858596078,NA,0.0632289447824032,NA
82,36,1000,82,0,0,0,0.0636440580629662,NA,0.0639605599011656,NA
83,36,1000,83,0,1,0,0.0646576361171348,NA,0.0656188110909809,NA
84,36,1000,84,0,0,0,0.0627362152954548,NA,0.0625417481208939,NA
85,36,1000,85,0,1,0,0.0703961317927483,NA,0.0680411555357758,NA
86,36,1000,86,0,0,0,0.0652348625903582,NA,0.0649821278783103,NA
87,36,1000,87,0,0,0,0.0642159620637606,NA,0.0638320752275535,NA
88,36,1000,88,0,0,0,0.0655885144318714,NA,0.0677413926612532,NA
