"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,36,2000,1,1,1,0,0.111768232120685,0.0618911191740341,0.104681073797346,0.0571810957008762,3.25959895722314
2,36,2000,2,0,1,0,0.130206493433685,NA,0.122092543677705,NA,3.21901472188371
3,36,2000,3,1,1,0,0.108241821391488,0.068324179970395,0.103279872334928,0.061768637192345,3.26339393736246
4,36,2000,4,1,1,0,0.122209062947844,0.072131430303389,0.114719612571614,0.0672189429251112,3.21729307939322
5,36,2000,5,0,1,0,0.11483309710855,NA,0.108907618988115,NA,3.22702584002888
6,36,2000,6,1,1,0,0.113389722862369,0.0729131566206156,0.102857915356391,0.0553583089376572,3.26468315106835
7,36,2000,7,1,1,0,0.11915804988648,0.0635957424052638,0.121445947646036,0.0739466525148774,3.27787795008757
8,36,2000,8,1,1,0,0.106755716637306,0.0615531755261532,0.100529172672121,0.0559383291717216,3.24217660240902
9,36,2000,9,1,1,0,0.116440793631516,0.0673865156470941,0.111041010073932,0.0635410110112178,3.22444406223486
10,36,2000,10,1,1,0,0.11017201194622,0.0640958005281238,0.102611011910512,0.0551110043341998,3.20224672418925
11,36,2000,11,1,1,0,0.11985345625931,0.0675239239150335,0.115078949821231,0.0675789489600799,3.22819697042879
12,36,2000,12,1,1,0,0.111869881392962,0.0653595993597014,0.107468332737858,0.0599683221043683,3.28603342571431
13,36,2000,13,1,1,0,0.110431512117037,0.0659043179774852,0.106922371116753,0.0710749425060632,3.24238911862476
14,36,2000,14,0,1,0,0.144396575620312,NA,0.140457163842782,NA,3.17439495597268
15,36,2000,15,0,1,0,0.131148599960447,NA,0.123318507923702,NA,3.2044306442518
16,36,2000,16,1,1,0,0.127397328454433,0.0834455286528108,0.116523807398582,0.0690238382742097,3.22438004987387
17,36,2000,17,1,1,0,0.116013731759449,0.0695567147431943,0.11285670282543,0.0653566958320156,3.20118982783111
18,36,2000,18,1,1,0,0.112766368751053,0.0657981019065201,0.102651012219906,0.0564313052442694,3.23381652268231
19,36,2000,19,1,1,0,0.110374992288395,0.066427779296158,0.102501325639076,0.0550013335599484,3.21943596685168
20,36,2000,20,1,1,0,0.123156383451392,0.0779843615845397,0.115788195244513,0.068288171946851,3.23583695612021
21,36,2000,21,1,1,0,0.115185810063336,0.0686546177941375,0.112216091735494,0.0647160936467655,3.25830763547492
22,36,2000,22,0,1,0,0.125944361952535,NA,0.121015960797593,NA,3.24353346525067
23,36,2000,23,1,1,0,0.110261422587307,0.0675351130731687,0.0980711277266903,0.0547394205627994,3.21267154662188
24,36,2000,24,1,1,0,0.127364853990383,0.0781212475973463,0.118492233792331,0.0709922137411214,3.22521833798778
25,36,2000,25,1,1,0,0.125800214123778,0.073974055027833,0.123398422027341,0.0758984316132014,3.20727717381926
26,36,2000,26,0,1,0,0.131737549661369,NA,0.123752869251468,NA,3.24818245021005
27,36,2000,27,0,1,0,0.126483745250819,NA,0.124436304369747,NA,3.14911484966481
28,36,2000,28,0,1,0,0.15044514374555,NA,0.14185516323717,NA,3.26865074221652
29,36,2000,29,1,1,0,0.103037800268361,0.0578090626803811,0.0994057641691482,0.0576211971560435,3.19419820407194
