"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,37500,1,1,1,1,0.463556279667693,0.391748860881055,0.0391274802066081,0.0308159508466053,17.1483201947636
2,24,37500,2,1,1,1,0.463069060803176,0.390862355379375,0.0371251073948892,0.0252986881668586,17.1167846666178
3,24,37500,3,1,1,1,0.463174398802694,0.39101329672524,0.0375937594739146,0.0269000788534684,17.1432412136192
4,24,37500,4,1,1,1,0.463027883029009,0.390390651036009,0.0378119719608778,0.0271345138862036,17.1655568920856
5,24,37500,5,1,1,1,0.463273948660652,0.391331894137581,0.0375541008692873,0.0268865277804349,17.1322416812883
6,24,37500,6,1,1,1,0.463732485983781,0.392356521012278,0.0394519116185596,0.0314839965020187,17.1480224015746
7,24,37500,7,1,1,1,0.463664699422463,0.392189886487623,0.0388375313641542,0.0304815599325634,17.1458082901171
8,24,37500,8,1,1,1,0.462930375176136,0.390196721224173,0.0368423742529966,0.0248949214864415,17.1304579799135
9,24,37500,9,1,1,1,0.463080911476215,0.390669227320522,0.0371595497009986,0.0252556833277676,17.1236499692753
10,24,37500,10,1,1,1,0.462928838617477,0.390123515975547,0.0369576638779979,0.0245083645537314,17.1491658701419
11,24,37500,11,1,1,1,0.463311476782745,0.391343209475791,0.0382990566057857,0.0287137409342102,17.133318434931
12,24,37500,12,1,1,1,0.463272177572879,0.39135286042655,0.037875537486649,0.0280899546500868,17.1352740181079
13,24,37500,13,1,1,1,0.463536547684462,0.391699064165869,0.0385444072573345,0.0296868464048432,17.1292219504245
14,24,37500,14,1,1,1,0.463175671390683,0.391098892447841,0.0371343897394776,0.0257108020899529,17.1133227792532
15,24,37500,15,1,1,1,0.463009631786317,0.390663742543948,0.0366491538665748,0.0242215810822741,17.1248244879373
16,24,37500,16,1,1,1,0.464427025105081,0.393789782487338,0.0420229636970793,0.0370889097659122,17.1305614414488
17,24,37500,17,1,1,1,0.463294212537687,0.391278757166302,0.0378347424815199,0.0281559244800229,17.1409493132944
18,24,37500,18,1,1,1,0.463205941076673,0.390929694497323,0.037840300333044,0.0274845170174731,17.141971723847
19,24,37500,19,1,1,1,0.463397030387626,0.391655368695595,0.0381817450795956,0.028355253700941,17.1193541748434
20,24,37500,20,1,1,1,0.463019500864533,0.390367452553849,0.0374138068822417,0.025456299666203,17.1521207869861
21,24,37500,21,1,1,1,0.463803584574819,0.39277906979885,0.0395980356665524,0.0315087038576823,17.112630433898
22,24,37500,22,1,1,1,0.463230066845556,0.391133902318045,0.0375402869955966,0.0259079722662347,17.1022897420949
23,24,37500,23,1,1,1,0.462728327554111,0.389413795268848,0.0360517348935063,0.020527808121732,17.1363082463085
24,24,37500,24,1,1,1,0.463349516663835,0.391695553089398,0.0382211697248183,0.0283397836914771,17.1325565027322
25,24,37500,25,1,1,1,0.463889551668943,0.392904760562747,0.0395511122470614,0.0314187305892061,17.0976099697247
26,24,37500,26,1,1,1,0.463484979258674,0.391701201191072,0.0390923981350883,0.0305101792059127,17.1478092233982
27,24,37500,27,1,1,1,0.463254226135,0.391597209779445,0.0378252075370679,0.0274936634353643,17.1257596157044
28,24,37500,28,1,1,1,0.46359372158219,0.392274186655626,0.0390395672707348,0.0306645162494966,17.1204704955246
29,24,37500,29,1,1,1,0.462872253223189,0.389883378669815,0.0368735253784254,0.0248361263742794,17.1554321874505
30,24,37500,30,1,1,1,0.463812279069977,0.392814736173029,0.0398029603381517,0.0326969825440334,17.1186342220303
