"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc","NDiff"
1,24,75000,1,1,1,1,0.491437115941663,0.449747727353701,0.0719650738661977,0.0414356634146765,9.74786525070407
2,24,75000,2,0,1,1,0.491878944397225,NA,0.0738852249712904,NA,9.74799617354241
3,24,75000,3,1,1,1,0.491519934531332,0.449855872843772,0.0722573975360488,0.0420381063041754,9.75375044930639
4,24,75000,4,1,1,1,0.490897291259451,0.448276570392764,0.0704419237751865,0.0381227914989456,9.75038897231739
5,24,75000,5,1,1,1,0.491160655174727,0.44885978245687,0.0711196221076068,0.0395852405254309,9.75319904810397
6,24,75000,6,1,1,1,0.490933598863295,0.448592815331917,0.0704701594822453,0.0381686384006356,9.75025557272515
7,24,75000,7,1,1,1,0.49111839368376,0.44896709250808,0.0710260597841573,0.0393392167350597,9.74325697510342
8,24,75000,8,1,1,1,0.490583989724011,0.447915076061525,0.0688997530568599,0.0350107024149159,9.75378154656052
9,24,75000,9,0,1,1,0.491612279056336,NA,0.0724383373628178,NA,9.75566390756199
10,24,75000,10,1,1,1,0.491104645045027,0.448965207111547,0.0706777387498299,0.0386333834878393,9.75053983893952
11,24,75000,11,1,1,1,0.491125896588993,0.448961014911448,0.0711394150795143,0.0396089134068936,9.74942956792468
12,24,75000,12,1,1,1,0.49157775529253,0.44972765971099,0.0729212292440544,0.0435668498706918,9.74926857630446
13,24,75000,13,0,1,1,0.491845998903616,NA,0.0735686228755753,NA,9.7533145893661
14,24,75000,14,1,1,1,0.49119869731536,0.44928260156445,0.0709915923175494,0.0393192533031101,9.74356298762807
15,24,75000,15,1,1,1,0.490879506776538,0.448451055414059,0.0699510648608627,0.0371431911986296,9.75247749862289
16,24,75000,16,1,1,1,0.491177595505292,0.449165334457912,0.0708391760994609,0.0390051545856871,9.74560619236084
17,24,75000,17,1,1,1,0.490788912399917,0.448168681505756,0.0697578462382897,0.0367462798360528,9.74408010539242
18,24,75000,18,1,1,1,0.491300331520835,0.449317028450109,0.0716133406935545,0.0406857559578698,9.74341216487005
19,24,75000,19,1,1,1,0.49112371344889,0.448749922384712,0.0714576635681166,0.040304093992048,9.74896305376412
20,24,75000,20,1,1,1,0.490914111646915,0.448530921965744,0.0700021412324286,0.0372352712984306,9.74851448177507
21,24,75000,21,0,1,1,0.491706632905713,NA,0.073160244791524,NA,9.75240144299396
22,24,75000,22,1,1,1,0.49124602227324,0.449257337190548,0.0713254742589432,0.0400208900983451,9.75220174548424
23,24,75000,23,1,1,1,0.491024753578358,0.448734929115274,0.0706063321740529,0.0384449151183498,9.74267433128002
24,24,75000,24,1,1,1,0.491199622776845,0.44918801379953,0.0710574412566301,0.0394147190331188,9.75151451529667
25,24,75000,25,1,1,1,0.491241427970441,0.44923474038496,0.0712625550239621,0.0399332246464855,9.74907567159338
26,24,75000,26,1,1,1,0.491125907966344,0.449154274066394,0.0705850507110272,0.0384178142074946,9.74693302979065
27,24,75000,27,1,1,1,0.490871435409348,0.448279837985137,0.0705804474830302,0.0383679678359804,9.75257678546512
28,24,75000,28,1,1,1,0.491360166565507,0.449533194670474,0.071719840127965,0.040884305163289,9.74934022171516
29,24,75000,29,1,1,1,0.490995388934672,0.448706929968034,0.0703874726823066,0.0379875392713346,9.74765985865995
